키워드,빈도수
의심,102
대학,102
강대국,101
넓히다,101
획기적,101
비리,101
추세,100
침투,100
열리다,99
되새기다,98
내년,98
지난해,98
해방,98
예비군,97
어리다,97
무궁,96
처하다,96
연구,96
비극,96
경주,96
돌이키다,96
뜻깊다,95
효과,95
교체,95
상태,95
임무,95
건전,94
기업인,94
남침,94
학생,94
불행,94
행사,93
선도,93
지방,93
유대,93
인도네시아,93
절약,93
외국,93
수요,92
교역,92
기도,92
가족,92
자연,92
내일,92
공급,92
총회,92
적화,92
각계,92
약속,92
환대,91
정립,91
일층,91
명심,90
전략,90
최대한,90
부패,90
수입,90
분발,89
조금,89
전하다,89
카나다,89
베풀다,89
최대,89
주한,89
해소,88
입각,88
마치다,88
위로,88
인정,88
키우다,88
이웃,88
이유,88
동북아,88
대남,88
아끼다,88
늘어나다,87
놓이다,87
나타나다,87
다가오다,87
올바르다,86
부응,86
전기,86
금융,86
중소기업,85
대립,85
자체,85
협정,85
수단,85
인도,85
가봉,85
지구,85
내용,84
국내외,84
미군,84
진행,84
원동력,84
주택,84
증강,84
합심,84
광복,83
구체,83
운용,83
헤치다,83
역군,83
하루,82
우리나라,82
오르다,82
청산,82
기구,82
대책,82
기하다,82
깃들다,81
재정,81
불과,81
한일,81
방침,81
멀리,81
근본,81
세네갈,81
중공,81
앞당기다,81
체질,81
기관,81
아무리,81
인력,80
튼튼히,80
치르다,80
위험,80
국운,80
조건,80
인하다,80
각오,80
목적,79
공통,79
진출,79
혜택,79
제국,79
세월,79
개발도상국,78
임기,78
상승,78
요소,78
성명,78
펼치다,78
뒷받침,78
조직,78
능동,78
활용,78
벗어나다,78
검토,78
의존,78
갈수록,77
분명,77
학원,77
가슴,77
결집,77
그치다,77
승리,77
여망,77
대응,77
값지다,77
외면,76
가속,76
계시다,76
가져오다,76
공관장,76
무장,76
보람차다,76
앞날,76
열심히,75
난관,75
지표,75
모이다,75
도움,74
전반,74
당시,74
회원국,74
불신,74
품질,74
총리대신,74
공격,74
늘리다,74
촉구,74
발걸음,74
내부,74
외부,73
비로소,73
권리,73
담당,73
진흥,73
가득,73
나서다,73
가하다,73
인내,73
확고히,72
동족,72
만드다,72
도상국,72
싱가폴,72
경하,72
평등,71
견해,71
한강,71
절대,71
동맹,70
참가,70
학교,70
활성,70
판단,70
비하다,70
계층,70
점차,70
대열,70
권력,70
차례,70
나이지리아,69
공산주의자,69
이용,69
떠나다,69
선택,69
기존,69
배양,69
창의,69
예산안,69
언제나,69
확고하다,69
각별,69
분열,69
도모,68
논의,68
활력,68
토착,68
맞이하다,68
심리,68
근대,68
수교,68
태국,68
과시,68
말레이시아,68
민방위대,68
특별,68
달리다,68
대외,67
제시,67
통상,67
업적,67
근면,67
여성,67
굳건히,67
실정,66
역경,66
희망차다,66
기쁨,66
역점,66
중동,66
직결,66
저해,66
주장,66
태도,66
의사,66
필리핀,66
경계,66
대륙,66
애쓰다,65
인상,65
체험,65
한국인,65
구주,65
장교,65
부여,65
영부인,64
축배,64
차지,64
상징,64
직장,64
지나치다,64
기조,63
자본,63
소임,63
재발,63
호혜,63
전환,63
이양,63
끊임없다,62
사례,62
대사,62
축적,62
공장,62
이어지다,62
떨치다,62
자금,62
국방,62
새삼,62
창설,62
도처,62
자행,62
공고히,62
양성,61
교민,61
개헌,61
석유,61
일으키다,61
운명,61
기약,61
지위,61
고려,61
호전,60
부강,60
반영,60
작업,60
줄기차다,60
인구,60
일깨우다,60
얘기,60
게임,60
영도자,60
어떠하다,60
박차,60
착실히,60
추가,59
케냐,59
부분,59
시정,59
일정,59
완벽,59
후계자,59
아시안,59
직시,59
날로,59
지적,59
침체,59
걱정,59
영향,58
기계,58
주권,58
노선,58
부담,58
치안,58
대가,58
세계인,58
수하르토,58
모색,58
결국,58
가입,58
연합,58
기풍,58
프랑스,58
가치관,58
격화,58
도민,58
양상,57
정직,57
폭넓다,57
자부,57
반대,57
오름세,57
대폭,57
제공,57
비판,57
꽃피우다,57
절감,57
강하다,57
역시,57
위원회,57
책무,57
선동,56
다양,56
조화,56
호국,56
마찬가지,56
확산,56
부족,56
준공,56
넘치다,56
우리,56
농촌,56
되풀이,56
집권,56
측면,56
애국심,56
흐름,56
치열,56
막강,56
제전,55
식량,55
관심사,55
거리,55
가리다,55
말씀드리다,55
잠재력,55
영예,55
초래,55
수락,55
정진,55
경찰관,55
드높이다,55
완전히,55
호응,55
상품,55
기억,55
무기,55
애국,54
연설,54
영도,54
구상,54
현장,54
바꾸다,54
창당,54
당초,54
청소년,54
윤리,54
취임,54
협동,54
유익,54
중대,54
강구,54
빈곤,54
공군,54
만행,54
고난,54
잘못,53
대상,53
광장,53
문명,53
지혜,53
고조,53
금리,53
굳건하다,53
김일성,53
말미암다,53
끊임없이,53
풍요,53
부인,53
방식,53
거부,53
헌정,53
오찬,52
예방,52
지식,52
예산,52
체계,52
애호,52
생명,52
비단,52
향토,52
합치다,52
적자,52
유시,52
제고,52
억제,52
존재,51
가격,51
축복,51
대전,51
조정,51
원유,51
완전,51
교육자,51
규제,51
남기다,51
두말,51
주력,51
도입,51
하늘,51
발생,51
형성,51
버리다,51
헌정사,51
최초,51
궁극,51
직면,51
