키워드,빈도수
빠르다,963
공정,961
나서다,960
기업인,958
장래,957
역시,954
지도,943
유럽,940
주의,939
부처,938
위원,938
넘치다,933
기초,933
불과,932
핵심,930
전망,928
긴장,925
무력,924
늘어나다,924
슬기,921
구현,917
아래,917
민중,917
애국,916
행위,915
결심,914
살리다,914
이유,905
지구,902
민국,900
진출,899
부족,898
이승만,897
효율,894
선도,893
빛나다,891
하루,889
당시,888
주택,886
구체,884
앞날,882
자본,882
부탁,881
다르다,879
승리,878
노사,878
체육,876
체계,869
군인,868
분발,866
신념,865
생기다,864
오직,862
지향,862
무한,861
파괴,858
협정,858
협의,857
동맹,857
활용,855
근본,855
가져오다,854
자금,854
자연,854
투쟁,853
당면,851
폭력,851
사상,851
수입,850
기후,850
요청,848
실질,847
월남,846
공산주의자,845
민생,845
완수,845
교역,844
인도,843
긍지,842
동반자,840
반대,839
불안,838
농어촌,836
사건,836
참으로,833
냉전,832
들어가다,831
걱정,830
혼란,828
완화,826
아끼다,825
고도,823
창출,822
방송,822
전하다,820
정권,819
위원회,818
들어오다,818
발표,816
상태,815
인력,813
충심,812
젊은이,811
우수,811
바치다,811
부산,807
부담,807
빨리,806
이용,805
일반,803
바다,803
수상,802
부정,802
기능,801
총회,800
위험,800
공산당,797
대결,793
공급,790
잘못,790
메시지,790
내리다,785
갈등,784
전개,784
서민,784
치르다,784
내일,782
충분히,782
획기적,778
전환,778
열심히,777
항상,777
방식,775
화해,775
배우다,775
의사,775
자체,774
가격,774
아프리카,771
취하다,771
식량,770
가슴,770
선수,768
전기,768
기록,767
디지털,766
관계자,766
비롯하다,766
검토,765
인구,764
고속,762
서비스,762
존중,760
조건,759
최대,757
달리다,757
계시다,756
제공,754
성원,753
각오,753
아주,752
지혜,751
내외분,749
자치,749
조사,748
대전,748
신문,748
높이,747
주요,746
대한,746
결실,745
주체,739
꾸준히,737
보고,736
공산주의,734
치사,731
배양,731
완전히,729
제시,728
공헌,726
당원,726
제의,726
처하다,726
인권,724
한번,722
피해,719
취임,717
건전,717
동북아,716
자율,712
결국,712
나무,711
오히려,711
중대,710
영향,709
예비군,707
기구,707
해소,706
끝나다,705
인재,705
늘리다,704
어리다,704
시점,704
현상,703
활력,702
단합,702
요인,702
부분,701
집중,701
공동체,700
민족사,698
소리,697
무장,694
오르다,694
생존,694
너무,693
야당,692
활성,691
통신,691
주변,689
최대한,689
인하다,687
거의,686
확산,686
사고,684
가난,684
북괴,683
기억,682
저력,677
수요,677
답변,677
내용,677
가입,675
물건,673
그리하다,673
유신,669
당국,669
임기,668
알리다,667
권리,666
설명,665
점차,664
합리,662
친구,662
그대로,661
해방,659
위치,659
경의,658
도입,658
아무리,658
강하다,656
벗어나다,656
우의,651
출발,651
단지,648
예술,648
향토,648
용사,647
작업,645
기르다,645
센터,644
소위,644
국내외,644
각각,644
판단,644
염원,643
절대,643
연결,643
형편,643
조정,642
의욕,642
지식,641
새마을,640
앞서다,639
현대,639
경영,638
치안,637
각자,637
분명히,636
전부,635
재산,635
어린이,635
마찬가지,634
연대,634
우정,632
인정,632
본격,631
보완,630
성숙,630
지니다,629
나타나다,629
초청,627
기적,627
협동,626
노동,625
뭉치다,623
확장,623
우려,622
구상,622
체결,620
세상,619
버리다,619
증산,618
포기,617
장기,616
앞당기다,614
뿌리,612
석유,612
변하다,612
양성,610
떠나다,610
시행,609
소망,609
한인,609
철도,605
일류,604
장교,602
가꾸다,601
상당,600
광복,599
다가오다,599
기하다,598
수교,594
상품,594
정성,594
사용,593
분위기,593
차례,591
도민,591
미군,589
불행,589
저축,587
선택,586
한국인,585
순방,584
위로,583
기념,581
공군,580
경주,579
한일,579
해양,576
무대,575
명예,575
태도,575
엄청나다,574
우주,573
마지막,573
불법,572
여기다,572
영국,571
줄이다,570
예상,570
소비,569
수많다,568
비록,566
기쁨,566
공유,565
차지,565
반도체,565
공직자,564
문명,564
참전,563
임무,562
일으키다,559
자문,559
미치다,559
펼치다,558
돌아가다,557
원동력,557
선생,554
장군,553
도모,552
고용,551
자동차,551
지적,551
절약,550
방한,548
비전,548
군대,546
개정,546
범죄,545
신장,545
선전,545
교통,544
가하다,543
반공,541
아이,541
북방,539
각계,539
교훈,538
모범,538
중앙,537
합치다,536
혜택,536
커지다,535
실로,535
방지,535
완성,534
기계,534
만족,533
성실,533
올바르다,532
러시아,531
제대로,531
분열,530
발생,529
이전,528
훨씬,527
제품,527
넓히다,526
영예,526
계층,526
촉구,525
수지,525
명심,523
물결,523
동력,522
수도,521
전문,521
이어지다,519
포럼,518
잠재력,518
부모,517
정하다,517
아세안,515
총력,514
설치,514
임금,514
뜻깊다,513
대립,510
비하다,510
전반,510
청소년,509
열정,509
대폭,509
중점,509
통상,506
한층,506
중흥,505
속히,503
시정,503
담당,503
무궁,503
근면,502
예정,501
공공,499
행하다,498
의장,498
장비,497
떨어지다,497
기타,496
형성,495
표명,494
유대,493
물자,493
농어민,493
남기다,490
원하다,490
그러하다,490
언제나,489
개편,489
올라가다,488
지위,488
진흥,488
영원,488
상승,486
매년,486
전문가,486
사정,485
착수,484
바뀌다,483
유일,483
공식,482
관광,482
제안,482
협상,482
인내,482
유치,482
기다리다,481
전선,480
치열,480
후손,479
빈곤,479
주역,479
기도,478
대구,477
대상,476
목숨,476
회장,475
해군,475
업적,475
새로,475
직면,474
합심,474
아마,473
만약,473
달라지다,472
애쓰다,472
후보,472
부락,472
속도,472
기틀,471
분쟁,471
흐름,471
창설,471
다니다,471
투표,471
광주,470
거치다,468
고려,468
내부,468
캐나다,467
간접,467
비극,466
중공,466
정치인,465
연합,465
인상,464
시스템,463
회견,463
확실히,463
무기,462
추가,460
만일,459
돌이키다,459
강구,458
처리,458
방침,458
지난날,457
회사,457
요소,457
격차,457
완공,456
