키워드,빈도수
국민,567
국가,409
위하다,382
발전,296
안정,291
경제,279
나라,266
사회,259
정부,234
노력,199
대하다,182
대통령,151
정치,142
계속,141
질서,139
헌법,136
관계,121
지금,119
본인,114
평화,113
오늘,113
문제,110
추진,109
사태,107
생각,104
건설,104
안전,98
더욱,97
국제,96
세계,94
따르다,93
극복,93
협력,92
성장,92
북한,90
생활,89
유지,89
정세,83
보장,81
통하다,78
난국,77
지나다,76
매우,76
거듭,74
기반,73
지속,73
모두,72
한편,71
협조,71
특히,70
정신,68
가운데,67
처하다,66
드리다,66
운동,66
책임,65
혼란,65
관하다,65
양국,64
말씀,63
개정,62
다시,62
강화,62
어려움,61
조치,60
시련,59
당면,58
상황,57
같이,57
중요,57
통일,56
개발,56
역사,56
석유,55
함께,55
문화,55
원유,55
대의원,54
해결,54
방위,54
현실,53
공업,53
확대,52
경주,52
수호,52
집단,51
조국,51
대처,50
최선,50
공산,50
사업,49
기회,49
과제,49
한국,49
분야,47
산업,46
내외,46
또한,46
근로자,46
마을,46
이해,45
치하,45
생존,45
수출,45
동안,45
지원,44
중대,44
조성,43
시책,43
당부,43
지역,43
보내다,43
기술,43
바라다,43
성과,42
필요,42
마련,42
노고,41
밝히다,40
국력,40
공동,40
계획,40
향상,39
중동,39
한반도,39
아울러,39
먼저,39
전국,39
이제,39
생산,38
상호,38
연구,37
의견,37
포함,37
대화,37
교육,36
보위,36
바탕,36
타개,36
적극,36
자원,36
개선,36
이번,36
태세,35
공무원,35
슬기,35
강조,35
기대,35
회담,35
증진,34
시국,34
금년,34
인사,34
각하,34
친애,34
남북,33
다짐,33
없이,33
언론,33
남북한,33
물론,33
대한민국,33
이러하다,33
힘쓰다,32
이후,32
사실,32
화합,32
최근,32
외교,32
공장,32
확립,32
기원,32
가격,31
민주,31
수행,31
에너지,30
당국,30
민족,30
변화,30
국토,30
목표,30
안보,30
번영,29
미국,29
참여,29
국정,29
증대,29
자리,29
작년,29
비상시국,29
도모,29
촉진,29
가지다,29
새마을,28
다지다,28
가능,28
확신,28
각종,28
회의,28
기울이다,28
확보,28
결과,28
제반,28
기업,27
졸업,27
지도,27
과정,27
발휘,27
농촌,27
우호,27
역할,27
침체,26
추구,26
가정,26
시대,26
자유,26
기여,26
견지,26
방문,26
의하다,25
관련,25
통일주체국민회의,25
취하다,25
토대,25
분열,25
인식,25
격려,25
흘리다,25
기하다,25
장관,25
사명,24
감사,24
심의,24
단결,24
불안,24
시기,24
부응,24
전통,24
보다,24
긴장,24
증강,24
이미,24
애국심,24
영향,24
깊이,24
국내,23
겨레,23
새해,23
애국,23
주변,23
선거,23
절차,23
검토,23
정착,23
국방,23
정책,23
직면,23
자제,23
비롯하다,22
대내외,22
결의,22
과거,22
중화학,22
원수,22
확충,22
현재,22
위기,22
충심,22
과학,22
체제,22
야기,22
신장,22
실시,22
사우디,22
부강,21
사정,21
시점,21
운영,21
활동,21
합심,21
공공,21
절약,21
적십자,21
올해,21
국법,21
단합,21
도발,21
군사,20
시설,20
쿠웨이트,20
공고히,20
사람,20
