키워드,빈도수
인정,105
증가,105
균형발전,104
엄청나다,104
상당히,104
회장,104
참전,104
비롯하다,104
내년,104
논리,104
흐름,103
들어가다,103
차례,103
일어나다,103
상대,102
가슴,102
불신,102
아이,102
이기다,102
취임,102
주한,102
역동,101
위험,101
용기,101
뜻깊다,101
외환,100
국내,100
전부,100
배우다,100
협의,100
나쁘다,100
일반,100
지향,100
행위,100
거치다,100
아무리,99
이름,99
믿음,99
세금,99
그때,99
단체,99
넘어서다,99
성원,98
개인,98
나서다,98
개최,98
근거,98
작년,97
어떻든,97
기억,97
기준,97
만찬,97
정확,96
결론,96
한편,96
수행,96
자금,96
소위,96
오히려,95
출발,95
사건,95
정의,94
통과,94
의료,94
고치다,94
박수,94
기간,94
청산,94
들어서다,94
창출,94
발생,93
대처,93
야당,93
창의,93
무궁,93
요소,92
당당,92
절차,92
기자,92
가족,92
옛날,91
부족,91
동반자,91
기초,91
지도력,91
허브,91
본격,91
축사,90
잠재력,90
건배,90
보편,90
외국,90
충분히,90
보고,90
저력,89
공직,89
획기적,89
참석,89
강국,89
영향,89
치하,89
해양,89
활용,89
위원장,89
노동,89
진실,88
위상,88
혁명,88
공존,88
졸업,88
발표,87
최대한,87
나타나다,87
치르다,87
단지,87
열정,87
권리,87
보람,87
차이,86
원리,86
마찬가지,86
유치,86
통제,86
포함,85
확산,85
지역주의,85
근본,85
과거사,85
올림픽,85
여성,84
위원,84
일관,84
과연,84
특권,84
시설,84
신용,84
승리,84
자연,84
이야기,83
전달,83
전환,83
수용,83
총회,83
포괄,83
내다보다,83
개성공단,83
올리다,82
이행,82
변하다,82
떨어지다,82
힘들다,82
검토,82
권한,82
그대로,82
돌아가다,82
부정,81
처리,81
추가,81
공개,81
일류,81
들어오다,81
화합,81
방위,80
아끼다,80
거의,80
끝나다,80
착실히,80
수고,80
견제,79
진출,79
당원,79
지출,79
인간,79
프랑스,79
채택,79
분위기,78
청와대,78
애쓰다,78
현상,78
개편,78
불행,78
차질,78
봉사,78
연결,77
베트남,77
자동차,77
제의,77
조선,77
높아지다,77
맞추다,77
위로,77
업무,76
항쟁,76
분단,76
선생,76
고려,76
흘리다,76
냉전,76
강하다,76
형성,75
유엔,75
하루,75
총선,75
내일,75
협조,75
벗어나다,75
공급,75
차별,75
굉장히,75
공부,75
무너지다,74
별로,74
개정,74
계층,74
생명,74
마무리,74
미치다,74
흔들리다,74
설득,74
피해,74
상태,74
노무현,74
영국,73
맞서다,73
역내,73
고민,73
반영,73
선도,73
올라가다,73
현장,72
완전히,72
대개,72
다지다,72
긴장,72
도덕,72
실패,72
용납,72
소리,71
대상,71
기사,71
명실상부,71
관행,71
일행,71
넘어가다,70
고령,70
한계,70
풀리다,70
해군,70
이어지다,70
수립,70
선열,70
올바르다,70
불과,70
위협,70
직업,69
조치,69
군대,69
예측,69
덕분,69
분석,69
집단,69
입시,69
수많다,69
목숨,69
달성,69
의식,69
모델,69
제주,69
모이다,69
공간,68
맡기다,68
영원,68
불편,68
의무,68
연대,68
여야,68
따지다,68
촉진,68
인구,68
빌리다,68
그리다,68
발목,68
조국,68
오래,68
분배,68
축제,68
새해,67
책임지다,67
파병,67
존재,67
자주국방,67
기능,67
전자,67
자부심,67
저항,66
장애,66
비하다,66
친애,66
국토,66
마치다,66
돌이키다,66
뉴질랜드,66
내부,66
개념,66
반복,65
기지,65
시행,65
장래,65
뿌리,65
주택,65
생태,65
상징,65
기념,65
절반,65
제출,65
마지막,65
비교,64
당하다,64
다만,64
위치,64
오늘날,64
철도,64
가격,64
전력,64
바치다,63
영역,63
의장,63
노인,63
혼란,63
점차,63
꾸준히,63
주체,63
신임,63
넓히다,63
노동자,63
절제,63
주제,62
좌우,62
전기,62
내수,62
주목,62
금년,62
반세기,62
주민,62
여전히,62
보완,62
공조,62
자문,62
선정,62
원인,61
프로그램,61
오르다,61
구상,61
떠나다,61
차기,61
힘쓰다,61
시점,61
감당,61
가정,61
비즈니스,61
느낌,61
이론,61
주의,61
감정,61
작전,61
달리다,60
연정,60
유가족,60
센터,60
최대,60
커지다,60
명분,60
따로,60
전문,60
거래,60
장애인,60
빠지다,60
훈련,60
동의,60
전제,59
앞서,59
무대,59
수사,59
체육,59
관점,59
호주,59
모시다,59
완화,59
공사,59
장교,59
개막,58
어제,58
품질,58
수교,58
인도,58
양보,58
초청,58
운용,58
중동,58
필리핀,58
가까이,58
차세대,58
논쟁,58
챙기다,58
지난날,58
조화,58
당선,57
의사,57
발의,57
상당,57
연합,57
뿌리내리다,57
제일,57
디지털,57
전혀,57
연금,57
부당,56
의제,56
흔들다,56
수단,56
정략,56
감동,56
명예,56
전문가,56
만족,56
배치,56
특별히,56
출산,56
인천,56
대폭,56
창립,56
표현,56
심화,56
주변,55
성명,55
차지,55
점검,55
항만,55
동참,55
동반,55
불법,55
주요,55
실력,55
지표,55
지켜보다,55
중립,55
복구,55
공격,55
버리다,55
넘기다,55
넘치다,55
붙이다,55
자산,55
대의,55
전반,54
한일,54
예술,54
부가,54
평등,54
도로,54
입법,53
공유,53
긴밀히,53
노선,53
주최,53
동시,53
세대,53
벤처,53
제품,53
기다리다,53
제정,53
유리,53
등급,53
능동,53
불교,53
충돌,53
정비,53
대북,53
사태,53
불리,53
글로벌,53
목소리,52
일방,52
요즘,52
사명,52
수요,52
남기다,52
이해관계,52
머리,52
상품,52
해내다,52
고향,52
편성,52
증명,52
국력,52
부닥치다,52
공론,52
영광,52
석유,51
실업,51
본질,51
경남,51
마침내,51
대륙,51
아프다,51
기자실,51
성취,51
돌아오다,51
걸치다,51
도리,51
상처,51
태평양,51
소개,50
특별법,50
혹시,50
개별,50
붕괴,50
전남,50
문명,50
지적,50
측면,50
실감,50
우주,50
그만큼,50
기술력,50
운명,50
목적,50
스페인,50
항공,50
매년,50
부시,50
주권,49
수입,49
젊은이,49
손해,49
터키,49
아프리카,49
김대중,49
회계,49
심하다,49
용산,49
기적,49
잡히다,49
양심,49
보통,49
인상,49
이렇게,49
숫자,49
공교육,49
절대,49
규칙,49
언제,49
보수,49
관용,49
정경,48
검찰,48
마디,48
정통,48
나중,48
학습,48
기구,48
테러,48
오찬,48
대신,48
무한,48
주력,48
펼치다,48
이용,48
카드,48
소신,48
유익,48
클러스터,47
나머지,47
철저히,47
해석,47
파탄,47
논란,47
고급,47
답사,47
원하다,47
보고서,47
인도네시아,47
기득,47
사과,47
앞당기다,47
파트너,47
구성,47
빨리,46
왜곡,46
거듭나다,46
폐하,46
줄어들다,46
명복,46
독자,46
부대,46
재원,46
조속히,46
연구소,46
대답,46
통상,46
살아나다,46
때로,46
완전,46
개입,45
아세안,45
태도,45
가속,45
기념식,45
소외,45
학부모,45
소망,45
정하다,45
다짐,45
현안,45
업적,45
예방,45
주역,45
다니다,45
오전,45
청년,44
빈곤,44
미리,44
예산안,44
결실,44
왜냐하면,44
각종,44
내세우다,44
약간,44
싸움,44
거부,44
몽골,44
실험,44
원자력,44
사정,44
정세,44
임시,44
보육,44
남북한,43
의존,43
여당,43
알리다,43
소중하다,43
거점,43
농민,43
의욕,43
고도,43
경정,43
시비,43
혼자,43
언제나,43
대세,43
경찰관,43
보상,43
불만,43
더욱이,43
대부분,43
움직이다,43
다하다,43
만일,43
임직원,43
평생,43
세월,42
고등학교,42
승부,42
우의,42
반칙,42
월드컵,42
승복,42
적용,42
알제리,42
약자,42
캄보디아,42
청소년,42
사항,42
마을,42
보험,42
활발하다,42
불량자,42
기도,42
박람회,42
검증,42
철학,42
게임,41
내각,41
계산,41
제조업,41
지구촌,41
무척,41
후손,41
최소한,41
설치,41
취지,41
대외,41
비중,41
합치다,41
혜택,41
상대방,41
대체로,41
모색,41
고비,41
되풀이,41
대전,41
재산,41
끌어올리다,41
굳이,41
투입,41
수호,41
원천,41
분명히,41
압력,41
아제르바이잔,41
철강,41
전시,41
일치,40
가르치다,40
제한,40
침략,40
경계,40
곳곳,40
조기,40
유공자,40
등장,40
귀하다,40
방한,40
발굴,40
진영,40
축적,40
분산,40
긍정,40
주어지다,40
영화,40
국빈,40
심지어,40
성실,40
복합,40
복원,40
즐기다,40
결합,40
루마니아,39
발휘,39
필수,39
다행히,39
훼손,39
그렇게,39
멕시코,39
처하다,39
신념,39
비율,39
담당,39
답변,39
다소,39
긍지,39
좋아하다,39
일정,39
궁극,39
지리,39
확실히,39
일원,39
이념,39
아래,39
애국,39
지도부,39
풍요,39
부활,39
걸음,39
치열,38
특허,38
개척,38
투기,38
방지,38
공장,38
단축,38
여유,38
창당,38
발명,38
구하다,38
약정,38
부정부패,38
뛰어넘다,38
위축,38
교수,38
요청,38
기리다,38
서명,38
다녀오다,38
브라질,38
부르다,38
매체,38
자발,38
완벽,38
당정,38
애정,38
아우르다,38
임무,38
의문,38
포용,38
부모,38
예정,38
독점,37
바르다,37
다자,37
입국,37
국회의원,37
벌어지다,37
다가오다,37
교훈,37
국내외,37
배려,37
무리,37
침해,37
관치,37
역대,37
취약,37
집행,37
협회,37
농업인,37
찬사,37
좌절,37
다루다,37
책무,37
해방,37
사라지다,37
시험,37
가르침,37
머물다,37
적대,37
체질,37
야대,36
좌파,36
추세,36
확정,36
고속,36
유가,36
피하다,36
말레이시아,36
일어서다,36
기금,36
창설,36
영원히,36
높이,36
부상,36
정예,36
저녁,36
이대로,36
여기다,36
견디다,35
코리아,35
중단,35
변호사,35
내려오다,35
일으키다,35
카자흐스탄,35
치안,35
법률,35
연간,35
놓치다,35
여소,35
부합,35
진입,35
충족,35
광복,35
영어,35
스님,35
참모,35
비난,35
우리,35
낙오,35
흐르다,35
머지않다,35
강력,35
구현,35
서해,35
대학교,35
공원,35
임금,35
환율,35
설립,34
기존,34
안전망,34
권위주의,34
프로젝트,34
축배,34
공직자,34
공감대,34
신속,34
칠레,34
대구,34
네트워크,34
일단,34
사법,34
선물,34
취재,34
소비자,34
각별히,34
각기,34
학자,34
각자,34
일제,34
지시,34
범죄,34
가난,34
따뜻하다,34
해체,34
지도,34
당연히,34
국정원,33
특성,33
단기,33
제국주의,33
바라보다,33
국무,33
무력,33
집권,33
정성,33
오로지,33
값지다,33
쟁점,33
북쪽,33
침체,33
꽃피우다,33
무능,33
범위,33
배제,33
끊임없다,33
폐기,33
협약,33
든든하다,33
근무,33
건전,33
어쨌든,33
공식,33
진상,33
설정,33
심각하다,33
나이지리아,33
긴밀하다,33
그치다,33
투자자,33
역점,33
백성,32
사무총장,32
낙관,32
의회,32
한발,32
보전,32
확실하다,32
숙제,32
사전,32
옮기다,32
노사모,32
폐허,32
놀라다,32
현대,32
경주,32
연계,32
이뤄지다,32
억압,32
우즈베키스탄,32
폭력,32
물려주다,32
보건,32
본고사,32
둘러싸다,32
광양항,32
최초,32
수상,32
기획,32
기르다,32
희망차다,32
회원,32
아침,32
탄압,31
강대국,31
