키워드,빈도수
기후,1345
진출,1342
자립,1341
해소,1337
부담,1335
동맹,1334
구체,1333
올리다,1330
노동,1328
동반자,1321
긴장,1320
실시,1318
전망,1318
공공,1315
공동체,1314
집단,1313
기초,1313
흘리다,1312
성취,1312
행동,1307
피해,1306
걸치다,1306
얼마나,1305
창의,1301
다르다,1298
기록,1297
활성,1294
봉사,1293
자금,1290
실질,1289
모이다,1289
성원,1287
우수,1287
비롯하다,1287
아끼다,1284
집중,1271
한번,1268
바다,1268
수호,1266
관광,1265
불안,1264
자본,1262
사태,1262
단체,1261
힘쓰다,1260
누리다,1257
민생,1255
동지,1252
각종,1252
개척,1244
불과,1243
나가다,1242
일류,1240
지향,1228
정당,1223
위원,1221
부족,1214
훈련,1213
또는,1213
공사,1211
방역,1210
진전,1207
냉전,1205
연결,1204
이유,1203
조정,1203
존중,1198
러시아,1197
정권,1197
사상,1195
활력,1185
개인,1183
대단히,1182
서민,1179
완화,1168
방송,1168
부탁,1167
협정,1165
발표,1165
근본,1159
획기적,1159
지혜,1159
인재,1155
체육,1151
행위,1151
지구,1147
공급,1146
아래,1142
시책,1140
세력,1140
기억,1138
무한,1137
열심히,1137
하루,1136
주택,1134
가슴,1133
주장,1132
이어지다,1128
녹색,1125
전기,1124
해양,1122
과업,1121
제공,1113
속도,1108
항상,1107
저력,1106
도입,1105
공화국,1105
인하다,1105
연대,1103
조직,1099
구현,1098
얼마,1098
치르다,1098
사건,1093
총회,1090
인도,1087
결국,1086
자율,1086
사고,1085
통신,1083
비전,1081
제시,1077
포용,1075
자체,1071
자연,1069
내일,1067
인구,1064
취임,1064
폭력,1062
강국,1061
우정,1060
최대한,1059
내외분,1057
잘못,1057
승리,1053
부분,1052
임기,1049
벤처,1046
대결,1046
주요,1045
도민,1043
용사,1041
선수,1040
권력,1030
참전,1029
투명,1029
최초,1026
생기다,1024
줄이다,1024
넘치다,1023
부정,1022
내리다,1022
경영,1021
제대로,1021
탄소,1020
추가,1014
경의,1013
고속,1011
강하다,1011
앞날,1011
야당,1011
단결,1010
주체,1010
본격,1010
빛나다,1009
모범,1008
시스템,1008
영향,1004
오히려,1002
높이,1001
광주,998
앞서다,997
요인,995
한층,994
너무,993
계층,992
슬기,991
긍지,989
당면,988
철도,988
단지,986
발생,985
수상,985
빨리,983
마지막,981
검토,981
무력,977
고도,975
젊은이,975
협의,974
상생,973
가져오다,972
지도,970
선생,970
수도,969
센터,966
끝나다,966
월드컵,962
동력,959
장래,958
결실,957
포럼,953
투쟁,953
신념,951
출발,950
바치다,949
아프리카,948
귀국,947
격차,945
선택,945
꾸준히,945
공유,937
외환,934
기능,930
달리다,929
반대,928
싸우다,926
자동차,925
상태,923
대폭,921
내용,920
조사,920
벗어나다,913
체결,913
의사,913
건전,912
반도체,912
기구,911
예술,910
주변,910
완전히,910
장기,908
합리,905
보완,904
농어촌,901
분발,900
제안,900
이용,899
뜻깊다,897
위험,895
수요,895
시행,895
소비,894
성숙,892
충심,891
수교,891
양성,891
들어가다,890
초청,890
충분히,889
범죄,889
요청,885
완수,884
위원장,883
커지다,881
인정,879
혼란,877
인프라,874
한일,874
배우다,874
수많다,873
나타나다,871
