키워드,빈도수
국민,5743
나라,4736
대통령,4326
세계,3688
위하다,3448
경제,3198
발전,2620
생각,2613
관계,2581
대하다,2510
문제,2340
한국,2254
사회,2229
통일,2198
북한,2023
이제,2016
정부,1978
협력,1932
시대,1883
민주,1787
평화,1716
민주주의,1688
이루다,1636
함께,1602
모두,1575
국가,1524
정치,1522
지나다,1507
번영,1337
오늘,1333
지역,1326
자유,1274
노력,1262
역사,1201
민족,1195
지금,1175
미국,1135
체제,1135
통하다,1116
한반도,1114
소련,1105
변화,1085
올림픽,1078
더욱,1065
정책,1064
사람,1050
남북,1002
따르다,959
안정,958
국제,956
선거,946
기자,935
서울,931
추진,912
기술,907
이루어지다,898
말씀,880
방문,877
문화,867
회담,862
세기,840
가장,823
일본,818
바라다,781
가지다,775
남북한,742
양국,732
자리,729
개방,726
교류,721
유엔,716
개발,715
상황,706
드리다,702
질서,702
태평양,691
선언,690
중국,679
바탕,677
정상,676
감사,673
기대,664
분야,663
산업,656
기업,641
동포,640
동안,629
전쟁,629
개선,620
서로,617
해결,602
냉전,602
실현,601
겨레,600
어려움,594
적극,588
현실,581
이번,572
이상,551
중요,550
특히,549
열리다,547
필요,541
과정,537
만들다,537
시장,531
성장,528
각하,524
외교,519
이끌다,511
화해,511
북방,510
다시,509
개혁,506
건설,501
무역,497
나아가다,495
선진국,493
치르다,492
아시아,490
역할,490
물론,490
느끼다,487
분단,486
만나다,483
인류,471
화합,471
투자,464
공동,462
지키다,457
밝히다,456
희망,450
생활,449
과학,449
아직,442
국회,436
나오다,433
대학,433
향하다,431
없이,431
합의,430
지방,428
바로,426
과거,421
지원,421
성공,420
기여,419
스스로,413
대결,412
극복,410
유럽,409
우리나라,408
마음,406
이러하다,404
사실,403
진전,402
넘치다,402
의하다,400
교육,400
가능,399
최근,394
연설,393
과제,389
나누다,388
실천,387
시작,387
세력,383
이후,383
모습,383
입장,378
보람,376
소득,374
보이다,374
상호,374
생산,373
지도자,370
지속,370
현재,367
강화,367
확신,365
이해,365
차원,364
대회,362
작년,361
책임,361
관하다,360
환경,359
의지,358
계획,358
확대,357
고르바초프,352
공화국,351
많이,349
동지,348
가입,341
매우,337
수준,337
조국,336
구조,336
자랑,335
방향,335
제도,334
통합,330
대화,329
사이,329
같이,327
또한,324
계속,320
우호,317
수출,316
근로자,312
시기,312
활동,311
마련,311
관련,310
결정,309
미래,307
언론,306
독일,305
최선,305
모으다,304
역량,300
의원,300
안보,300
대표,300
증진,299
참여,299
세대,299
인식,298
신뢰,298
평가,296
정당,295
처음,294
주택,294
정신,294
단계,293
결과,290
창조,286
중심,286
후보,285
의견,284
물결,284
회의,283
올해,283
운동,283
일어나다,283
얘기,282
물가,282
폭력,275
보내다,275
방안,275
대책,274
바꾸다,274
자신,273
계기,270
엄청나다,269
기회,269
만드다,269
수교,266
장래,265
시간,264
활력,264
사업,264
여러분,262
학생,261
교역,261
경쟁력,257
지지,256
불안,255
논의,254
실시,252
기간,252
추구,251
선진,251
빛나다,250
이야기,248
도전,247
도시,247
총재,247
갖추다,246
그동안,245
동반자,245
일부,243
협조,243
여건,243
갈등,242
기본,241
전진,241
공동체,240
참으로,239
헝가리,237
복지,237
의식,236
동서,236
이념,235
영광,235
경우,234
축하,234
변혁,233
걱정,233
자치,233
보장,232
먼저,231
혁명,230
정착,229
도움,229
