키워드,빈도수
절대,122
의장,122
힘차다,121
공헌,121
부시,121
그러하다,121
다가오다,121
도발,120
협의,120
정경,120
상당,119
관하다,119
각별,119
빠르다,119
부담,119
증대,119
증가,119
금리,119
조건,118
존중,118
대립,118
고난,118
대열,118
임기,117
확립,117
아시안,117
협정,116
의견,116
해내다,116
결의,116
차질,115
경의,115
전략,115
싸우다,115
대응,115
완수,115
몽골,115
지혜,115
노인,115
주변,114
바치다,114
특별,114
내일,114
개인,114
아세안,113
균형,113
체육,113
공군,113
부족,112
학교,112
뒷받침,112
잠재력,112
촉진,112
전문,112
제정,111
수호,111
기억,111
수교,111
경제인,111
원인,111
부처,110
차별,110
해양,110
국내외,110
대상,110
시련,110
얼마,110
인하다,110
일부,110
뜻깊다,109
조성,109
최초,109
부정,109
어린이,109
유착,109
올리다,109
총재,108
물가,108
만찬,108
사건,108
인구,107
근로자,107
다르다,107
들어가다,107
보완,107
척결,107
유엔,106
가정,106
주요,106
가져오다,106
베트남,106
반세기,106
합심,106
사명,105
축구,105
제안,105
이용,105
권리,105
행정,105
지구촌,105
좌절,104
발표,104
창의력,104
너무,104
철저,104
창의,104
방지,104
수행,104
물류,103
자신감,103
이바지,103
선생,103
기록,103
신장,103
소명,103
늘리다,103
범죄,103
기자,102
청소년,102
정성,102
최대한,101
위치,101
인도네시아,101
피해,101
규제,100
정당,100
상당히,100
전하다,100
하늘,100
조금,99
대국,99
일으키다,99
노벨,99
동북아시아,99
용납,99
의료,98
경의선,98
교체,98
제시,98
자세,98
모르다,98
끝나다,97
장교,97
바르다,97
흔들리다,97
일자리,96
요소,96
분명히,96
교훈,96
개척,96
정말,96
충심,96
요청,95
공사,95
열정,95
한국인,95
신문,95
추가,95
비전,95
초청,95
대폭,95
장차,94
업적,94
주민,94
조상,94
문명,94
배우다,94
기구,94
심정,94
벗어나다,94
클린턴,94
폭력,93
체질,93
당면,93
나타나다,93
확산,93
종합,93
예정,93
상태,93
만족,93
중심지,92
여당,92
지도력,92
주역,92
빈곤,92
장래,92
세상,92
출발,92
과업,92
본격,91
상봉,91
종교,91
지구,91
사용,91
적응,91
권력,91
당하다,90
발생,90
역내,90
확고히,90
거듭,90
결심,90
유일,90
오찬,90
불안,90
기념,89
노사정,89
전반,89
창조력,89
누리다,89
구현,89
혁신,89
각오,89
연합,88
그대로,88
통합,88
앞날,88
긍정,88
줄이다,88
속도,88
무궁,88
광주,87
걸리다,87
디자인,87
위상,87
주력,87
의심,87
여론,87
무력,87
교수,87
열심히,87
뉴질랜드,86
새해,86
통신망,86
국경,86
성취,86
알리다,86
신지식인,86
태도,86
중소,86
착실히,86
포럼,85
국토,85
도입,85
해군,85
호주,85
가슴,85
현장,84
넘기다,84
하루,84
내리다,83
기념식,83
혹은,83
총회,83
동맹,83
올림픽,83
철학,83
개통,83
취하다,82
완전,82
일행,82
수상,82
조사,82
부응,82
대전,82
행위,81
모색,81
상징,81
뿌리,81
달성,81
대단히,80
오히려,80
전부,80
단합,80
들어서다,80
아프리카,80
접목,79
남한,79
관치,79
결실,79
영원,79
분명,79
원천,79
강하다,79
영화,79
동지,79
달하다,79
싱가포르,78
정리,78
스포츠,78
이행,78
설치,78
우의,78
부실,78
당선,77
유라시아,77
이미지,77
신념,77
컴퓨터,77
햇볕정책,77
문제점,77
기틀,77
설명,77
생기다,77
당장,77
평양,77
중앙,77
개막,76
시행,76
이탈리아,76
소외,76
바뀌다,76
키우다,76
보람,75
달리다,75
베를린,75
신용,75
축배,75
영원히,74
전기,74
고비,74
근대,74
거의,74
농민,74
방위,74
행운,74
일어서다,73
빈부,73
시위,73
대구,73
자연,73
경기장,73
평생,73
이념,73
축복,73
무대,73
참석자,73
교환,72
반대,72
경찰관,72
아낌없다,72
체계,72
훈련,72
장애인,72
주최,72
에너지,72
참전,72
애쓰다,72
금강산,72
변하다,72
우려,72
선택,72
인프라,71
예산안,71
존재,71
미사일,71
일제,71
기적,71
조직,71
포기,71
놀라다,71
감동,71
전면,71
관행,71
운명,71
전문가,70
세대,70
이렇게,70
보전,70
차지,70
용사,70
해방,70
자동차,70
박람회,70
연금,70
제고,70
재산,70
주체,70
농촌,70
긴밀하다,70
애국심,70
발명,69
필리핀,69
환율,69
커지다,69
무기,69
주목,69
흐름,69
흘리다,69
선열,69
비판,69
전환,69
하나님,69
자문,69
언제나,69
요인,69
단결,69
양성,68
의사,68
소비,68
관광객,68
구하다,68
사항,68
전개,68
영상,67
유교,67
대결,67
비하다,67
주택,67
보고,67
실패,67
수입,67
창설,67
청산,67
사례,67
이어지다,67
지적,66
제의,66
정체,66
물질,66
어떠하다,66
공동체,66
빛나다,66
새천년,66
예상,66
마치다,66
총력,66
아무리,65
혼신,65
친선,65
위로,65
지정학,65
예방,65
조속히,65
방법,65
주의,65
더욱이,65
선수,64
평화상,64
사고,64
부여,64
행동,64
명예,64
권익,64
홍콩,64
머지않다,63
처리,63
뛰어나다,63
중점,63
근절,63
소방,63
도와주다,63
권위주의,63
애국,63
인생,62
필수,62
아이디어,62
내실,62
수지,62
젊은이,62
주인,62
원동력,62
태어나다,62
채택,62
반영,62
세월,62
기능,62
수고,62
마찬가지,62
성의,62
확실히,61
보편,61
안녕,61
믿음,61
협상,61
거치다,61
불행,61
폐하,61
농가,61
사명감,61
공유,61
다만,60
지니다,60
각계,60
내부,60
절반,60
인도,60
우방,60
서구,60
부채,60
우리,60
만일,60
자율,60
탄생,60
인재,60
영예,59
흡수,59
심화,59
다하다,59
이전,59
튼튼히,59
특별히,59
명실상부,59
중립,59
보도,59
개정,59
대출,59
스웨덴,59
구성,59
확고하다,59
민생,59
제일,59
자체,59
디지털,59
달라지다,59
협회,59
항상,59
기쁨,59
국력,59
신임,58
차이,58
학부모,58
긍지,58
굳건히,58
조기,58
기르다,58
부분,58
생존,58
참가,58
값지다,58
되풀이,58
활력,58
찬사,57
거래,57
세력,57
전폭,57
빨리,57
염원,57
적자,57
긴밀히,57
애정,57
앞두다,57
자주,57
돌아가다,57
포괄,57
연말,56
노동력,56
영령,56
주둔,56
프로그램,56
북미,56
튼튼하다,56
허용,56
불법,56
유통,56
일원,56
거대,56
수용,56
침체,56
시스템,55
상거래,55
대량,55
법률,55
목숨,55
보증,55
불굴,55
내용,55
기다리다,55
펼치다,55
방식,55
해치다,55
치안,55
임무,55
적대,55
장군,55
사기,55
접근,55
대신,55
공식,55
교원,54
협동조합,54
노르웨이,54
호국,54
훨씬,54
교육열,54
경주,54
재난,54
물려주다,54
머리,54
입증,54
꾸준히,54
목적,54
침략,54
남녀,54
난국,54
공로,54
남다르다,53
주식,53
미치다,53
공급,53
남기다,53
감소,53
덕택,53
절대로,53
공통,53
통상,53
식민지,53
거리,53
앞당기다,53
해고,53
국왕,53
비록,53
개입,53
소비자,52
재무,52
건배,52
자식,52
토지,52
분위기,52
자민련,52
순간,52
비리,52
교통,52
박사,52
출발점,52
국빈,52
제품,52
헌법,52
물건,52
공존공영,52
글로벌,52
직면,51
임관,51
전주,51
정비,51
파트너,51
나머지,51
일치,51
비용,51
기도,51
재해,51
전혀,51
매년,51
국익,51
조화,51
위주,51
기공식,51
작업,51
가격,51
불신,51
주제,51
감정,50
등장,50
분쟁,50
계승,50
담당,50
소프트웨어,50
회원,50
이룩,50
수상자,50
안전망,50
돌아오다,50
소리,50
상대,50
개막식,50
시점,50
삼위일체,50
의회,49
차례,49
원리,49
신속,49
덕분,49
그만큼,49
공감,49
인천국제공항,49
주어지다,49
지식인,49
상환,49
지도,49
자산,49
주한,49
합법,49
의무,49
서두르다,49
네트워크,48
농업인,48
간접,48
수요,48
개편,48
투자자,48
제국주의,48
형성,48
박수,48
검찰,48
개도국,48
연대,48
올바르다,48
생계,48
재건,48
현안,48
진입,47
인내심,47
발견,47
말레이시아,47
사라지다,47
넘어서다,47
강구,47
살아가다,47
고려,47
공장,47
일선,47
기업가,47
답사,47
지표,47
살아남다,47
그리다,47
반성,47
넓히다,47
되찾다,46
과감히,46
보유고,46
제거,46
현대,46
체결,46
폭넓다,46
비즈니스,46
투입,46
군인,46
총장,46
합리,46
점검,46
간곡히,46
대외,46
경정,46
지급,46
업무,46
오르다,46
한데,46
공산,46
단행,46
센터,46
단순히,45
충분히,45
상하이,45
여기다,45
캐나다,45
살상,45
전념,45
유례,45
인종,45
슬기,45
지리,45
감독,45
인상,45
직장,45
요즘,45
오부치,45
대부분,45
충격,45
강력히,45
중단,45
장기,45
응전,45
역대,45
비극,45
시절,45
완벽,45
지상,44
토론,44
비율,44
넘치다,44
사이버,44
상실,44
수도,44
서해안,44
들이다,44
굉장히,44
평등,44
민족주의,44
활발히,44
임시,44
공기업,44
채권,44
강도,44
올라가다,44
다행,44
일반,44
이북,44
편성,44
실크로드,44
보급,44
오직,43
동서,43
기조,43
기하다,43
어찌,43
절약,43
분발,43
민족사,43
매진,43
선수단,43
급속히,43
집회,43
금하다,43
인천,43
통치,43
과시,43
나쁘다,43
철폐,43
한민족,43
회사,43
찬양,43
줄어들다,43
무너지다,43
고생,43
예술인,43
동티모르,43
가입,43
무장,43
직업,43
파괴,43
도처,43
시정,43
떨어지다,42
견인차,42
지대,42
항공,42
일시,42
재개,42
공항,42
유산,42
힘들다,42
한국민,42
특성,42
어리다,42
풍요,42
일생,42
가난,42
파견,42
물결,42
첫째,42
어깨,42
기준,42
결합,42
결단,42
겨레,42
성숙,42
다시금,42
진흥,42
버리다,41
일정,41
투자가,41
시키다,41
표시,41
자기,41
검토,41
어업,41
통과,41
절감,41
주석,41
폐허,41
장점,41
받들다,41
유학,41
민주당,41
단지,41
정보화,41
기술력,41
기금,41
권한,41
영화제,41
김대중,41
고치다,40
일구다,40
존엄,40
떠나다,40
분담,40
그때,40
곳곳,40
헤치다,40
취업,40
지역감정,40
외면,40
뿌리내리다,40
만남,40
다행히,40
지하철,40
원하다,40
충실히,40
런던,40
최소,40
되살리다,39
위험,39
단호히,39
양측,39
책무,39
감회,39
귀국,39
중대,39
오랫동안,39
마음껏,39
소임,39
열망,39
동족,39
추세,39
대안,39
대우,39
군대,39
당당,39
복구,39
이름,39
멀리,39
제기,39
타개,39
파산,39
유익,39
역점,39
우주,39
만전,39
언제,39
부당,39
항쟁,39
하나하나,39
헝가리,39
교회,39
내빈,38
자발,38
차관,38
중동,38
고도,38
장치,38
당국,38
왕래,38
보답,38
진작,38
다리,38
귀하다,38
평소,38
천년,38
국민연금,38
앞서,38
현상,38
외환보유고,38
억제,38
배출,38
장사,38
돌이키다,38
지나치다,38
능동,38
촉구,38
높아지다,38
불편,38
방북,38
작정,38
부상,38
참가자,38
둘째,38
자부심,38
보존,38
고이즈미,38
실제,38
다수,38
대표단,38
명복,37
유도,37
공고히,37
이래,37
적합,37
눈앞,37
눈부시다,37
권위,37
강대국,37
생물,37
책임지다,37
매일,37
실력,37
기독교,37
측면,37
공직자,37
연방,37
절호,37
육군,37
협의회,37
망하다,37
건축,37
회견,37
내수,37
정세,36
판단,36
집행,36
공개,36
뭉치다,36
단기,36
사정,36
농산물,36
제출,36
사전,36
전제,36
충실,36
하여금,36
널리,36
천명,36
소홀히,36
열의,36
행정부,36
움직이다,36
소중하다,36
새천년민주당,36
등급,36
기리다,36
이자,36
감안,36
복원,36
입각,36
풍토,36
되새기다,35
빠지다,35
당사자,35
과감하다,35
유공자,35
아내,35
내년도,35
이룩하다,35
위축,35
외자,35
오염,35
공학,35
노조,35
경청,35
한미일,35
역동,35
새로이,35
정예,35
연합회,35
입국,35
보유,35
의거,35
난관,35
연구소,35
기법,35
기지,35
학자,35
감시,35
임금,35
대중,35
전화,35
장면,35
상상,34
의존,34
침해,34
유발,34
해동,34
주부,34
축소,34
유가족,34
제한,34
총체,34
둘러싸이다,34
근무,34
거부,34
감명,34
파리,34
법회,34
거점,34
해전,34
지난번,34
휴전선,34
배려,34
그치다,34
부모,34
시각,34
소신,34
외부,34
세금,34
모델,34
이기주의,34
모험심,34
망국,34
연간,34
능률,34
참사,34
직능,33
세계은행,33
전북,33
중남미,33
진정,33
가르치다,33
내놓다,33
승자,33
정립,33
새로,33
밑거름,33
선포,33
비추다,33
감격,33
당당히,33
도모,33
기운,33
막중하다,33
똑같이,33
비교,33
언론인,33
우등,33
초월,33
맞서다,33
굳건하다,33
단순,33
불가결,33
감내,33
해체,33
성실,33
초래,33
마이너스,33
수사,33
양쪽,33
지시,33
흐르다,33
한강,33
완공,32
달리,32
예측,32
응원,32
국권,32
폐지,32
소련,32
외채,32
간직,32
청년,32
전화위복,32
총선,32
박해,32
다니다,32
도덕,32
지위,32
부인,32
창립,32
유대,32
돌리다,32
민영,32
분리,32
근로,32
아프다,32
파트너십,32
한결같이,32
공산주의,32
변함없다,32
지역주의,32
지정,32
멕시코,32
공포,31
행하다,31
밸리,31
사관생도,31
금지,31
한중일,31
항만,31
장애,31
고르다,31
아픔,31
치열,31
호남,31
동반,31
식량,31
날로,31
재단,31
농어민,31
국립,31
입법,31
우뚝,31
금년도,31
가득,31
놓이다,31
분열,31
타결,31
찾아가다,31
베풀다,31
육로,31
기도회,30
공화국,30
소재,30
노벨상,30
하반기,30
마산,30
순방,30
내려가다,30
고장,30
선정,30
집권,30
조리,30
반목,30
자질,30
서해,30
그야말로,30
발사,30
가까이,30
초석,30
의혹,30
합병,30
정하다,30
재발,30
배제,30
끼치다,30
기간산업,30
외화,30
소중히,30
자녀,30
취약,30
답변,30
숙원,30
감옥,30
공단,30
일터,30
섬유,30
오래,30
설득,30
심도,30
시책,30
예외,30
상승,30
특사,30
간부,30
개회식,29
도산,29
또는,29
미흡,29
동의,29
아무쪼록,29
명심,29
뒤지다,29
독창,29
차세대,29
석유,29
옛날,29
섬기다,29
인내,29
내각,29
걸음,29
극대,29
마을,29
상시,29
스승,29
상대국,29
가뭄,29
유리,29
기타,29
발돋움,29
설립,29
브루나이,29
직전,29
괄목,29
시도,29
청와대,29
간섭,29
승화,29
과연,29
경북,29
아침,29
지난달,29
죽음,29
그지없다,28
없애다,28
사무총장,28
가꾸다,28
분업,28
궁극,28
파업,28
마디,28
업종,28
기술자,28
의약,28
역경,28
양심,28
지내다,28
악화,28
동남아시아,28
비로소,28
증명,28
그리,28
기강,28
특허,28
기약,28
벌이다,28
구상,28
독자,28
여전히,28
경탄,28
눈물,28
사장,28
선배,28
버팀목,28
견해,28
대치,28
직결,28
태국,28
한없다,28
두뇌,28
호전,28
답방,28
환대,28
체력,28
왕조,28
호소,28
맞이하다,28
모임,28
각지,28
임하다,27
고속도로,27
부산항,27
집약,27
플러스,27
종사,27
역설,27
어제,27
비약,27
일찍이,27
개항,27
밀라노,27
수반,27
고양,27
급속,27
한중,27
절차,27
용의,27
탄압,27
일깨우다,27
국면,27
못지않다,27
하드웨어,27
선물,27
용서,27
근원,27
가교,27
무릅쓰다,27
목소리,27
가하다,27
회생,27
적용,27
놓치다,27
절망,27
아까,27
자긍심,27
일체,27
체험,27
의학,27
김종필,27
파탄,27
혼란,27
태풍,27
수해,27
부동산,27
거듭나다,27
견디다,27
끊임없이,27
주가,27
불자,27
억압,27
은혜,26
알맞다,26
주주,26
정말로,26
보상,26
약자,26
범위,26
부통령,26
능히,26
시베리아,26
상반기,26
위업,26
주변국,26
동족상잔,26
장벽,26
중추,26
안기다,26
국교,26
바라보다,26
걸맞다,26
원전,26
저항,26
표명,26
모리,26
성명,26
지하,26
백범,26
인수,26
의욕,26
갈라지다,26
봉급,26
각자,26
선전,26
심지어,26
견지,26
지연,26
간절히,26
성적,26
강력,26
예수,26
다소,26
준수,26
투표,26
살아나다,26
내다보다,26
하락,26
영남,26
연장,25
끊임없다,25
늦추다,25
이하,25
기존,25
별로,25
피부,25
장쩌민,25
처우,25
자립,25
