키워드,빈도수
첨단,97
자연,97
투명,97
긍지,97
시점,97
전반,97
위협,97
생명,97
메시지,97
구현,97
가입,96
외국,96
모르다,96
주체,96
진입,95
용사,95
대전,95
노인,95
작업,95
고치다,95
시행,94
풍요,94
포함,94
고려,94
내각,94
승리,94
국토,93
선택,93
농정,93
유치,93
비용,91
긴밀히,91
임금,90
엄청나다,90
그리하다,90
청와대,90
기쁨,90
달성,90
도입,89
베트남,89
민자당,89
국력,89
기강,89
남북한,89
후보,88
선열,88
합리,88
소망,88
세대,88
방식,88
독립,87
부분,87
중남미,87
행사,87
경제인,86
결실,86
형성,86
앞서다,86
혁명,85
하루,85
필리핀,84
프랑스,84
사정,84
조속히,84
후손,84
강구,84
투쟁,83
청산,83
국경,83
세계사,83
해군,83
일행,83
충심,83
한국인,83
끝나다,83
집단,82
불안,82
열심히,82
수상,82
증가,82
대상,82
대폭,82
전환,82
차례,81
부산,81
부족,81
넓히다,81
우려,81
각별,81
유대,80
항상,80
당면,80
되찾다,80
건전,80
바뀌다,80
서비스,80
얼마나,80
자신감,80
진행,79
행동,79
활용,79
개척,79
개인,79
태어나다,79
내부,79
이유,79
공군,79
절대,79
아르헨티나,78
당당,78
안보리,78
토대,78
야당,78
요인,78
업무,78
펼치다,78
성취,78
불편,78
긴장,78
결의,78
학부모,77
물결,77
기구,77
동아시아,77
교통,77
설치,77
대남,77
월드컵,77
대외,77
사법,77
내리다,77
원동력,76
정세,76
단합,76
어리다,76
칠레,76
의회,76
이념,76
고속,76
폭넓다,76
현상,75
영국,75
치르다,75
수지,75
예방,75
새해,74
제대로,74
종교,74
우뚝,74
협상,74
요소,74
보전,74
진정,73
엑스포,73
참전,73
당시,73
당원,73
신념,73
시련,73
국내,73
중점,73
처하다,73
최고,73
에너지,73
주장,73
마지막,72
내용,72
체질,72
수호,72
양성,72
알리다,72
눈물,72
가슴,72
인권,72
회원국,72
아픔,71
젊은이,71
전기,71
기르다,71
정비,71
성숙,71
사항,71
경찰관,71
믿음,71
민생,71
올림픽,71
기도,71
싱가포르,71
대립,71
우수,70
힘쓰다,70
총회,70
연합,70
눈앞,70
기틀,70
거치다,70
줄이다,70
경제력,70
처리,70
청년,70
불행,70
합치다,70
부응,70
일관,69
초청,69
노동,69
다소,69
일선,69
지도력,68
영예,68
추세,68
지하철,68
수많다,68
가격,68
비전,68
생존,68
소비,68
견해,68
축배,68
마침내,68
멀리,68
지구촌,67
점검,67
부동산,67
농촌,67
나가다,67
발표,67
장기,67
대구,67
속도,67
이용,67
구하다,67
분쟁,67
진전,67
이기주의,67
역내,67
군인,67
풍토,66
고도,66
내일,66
품질,66
관광,66
의장,66
인하다,66
다르다,66
주변,66
대북,66
증대,66
시각,65
장교,65
정권,65
청소년,65
역점,65
행운,65
지도,64
통상,64
기자,64
다만,64
사라지다,64
공사,64
기적,64
상징,64
헌법,64
공통,64
대결,64
애국,64
사태,64
여론,64
영향,63
체육,63
공급,63
취하다,63
조사,63
마무리,63
인상,63
요청,63
언제,63
새로,63
조금,63
머지않다,63
가져오다,63
충분히,62
계층,62
무력,62
연결,62
민족사,62
올바르다,62
필수,62
빈곤,62
반영,61
행위,61
앞두다,61
만족,61
전력,61
모시다,61
예정,61
최초,61
기록,61
비하다,61
능동,61
발생,61
제공,61
조건,60
돌아오다,60
도로,60
일으키다,60
걱정,60
떠나다,60
탄생,60
치안,60
빛나다,60
중소,60
자주,60
애쓰다,59
현대,59
과감히,59
슬기,59
전개,59
인재,59
계시다,59
수교,59
고용,59
고립,59
위치,59
판단,59
우방,58
자부심,58
입시,58
집행,58
오히려,58
군대,58
지식,58
상당히,58
시절,58
총력,58
아침,58
미군,58
위로,58
받아들이다,58
분명,58
멕시코,58
열정,58
자체,58
떨어지다,57
단행,57
불과,57
자동차,57
세력,57
권력,57
주최,57
심화,57
어떠하다,57
지시,57
이사국,56
혼란,56
정치인,56
피해,56
높아지다,56
공화국,56
확고히,56
체코,56
창설,56
미흡,56
기억,56
경수로,56
공식,56
신장,56
가교,55
사기,55
사상,55
단체장,55
유착,54
활짝,54
정경,54
가속,54
책무,54
지난날,54
주의,54
훈련,54
제정,54
항만,54
오염,54
개헌,54
중단,54
튼튼히,54
조기,54
고난,54
한일,53
아주,53
상태,53
자발,53
주석,53
최대,53
견인차,53
정하다,53
철저히,53
오찬,53
단결,53
호주,53
외국인,53
장애,53
성실,53
값지다,53
교환,53
좌우,53
인천,53
임무,53
널리,53
답사,53
역시,53
대국,52
오직,52
방지,52
의욕,52
커지다,52
구성,52
무장,52
내년도,52
교회,52
기념,52
내실,52
총재,52
정기,52
공항,52
절차,51
교훈,51
철저,51
당사자,51
모색,51
호국,51
상품,51
폭력,51
비판,51
언제나,51
창간,51
마치다,51
버리다,51
공약,51
독재,51
조류,50
불법,50
주한,50
체결,50
결국,50
이행,50
역동,50
소명,50
일정,50
적화,50
비록,50
침체,50
옮기다,50
가꾸다,50
원하다,50
위주,50
결단,50
우즈베키스탄,50
의혹,50
대륙,50
적자,50
억제,49
지난번,49
부작용,49
재벌,49
의료,49
좌절,49
가득,49
미치다,49
합심,49
보도,49
실정,49
정예,49
올리다,49
곳곳,48
대열,48
개막,48
개도국,48
정성,48
치유,48
착실히,48
완성,48
부총리,48
대선,48
한층,48
중시,48
오르다,48
중앙,48
위성,48
긴밀하다,47
페루,47
제기,47
금융실명제,47
이정표,47
설명,47
건배,47
국내외,47
총선,47
측면,47
인물,47
궁극,47
입법,47
사명감,47
분열,47
협회,46
사명,46
전면,46
일원,46
특별히,46
내다보다,46
신문,46
한민족,46
친구,46
제고,46
침투,46
정직,46
파괴,46
헤치다,46
유공자,46
우리,46
공천,46
상승,46
예상,45
얼마,45
가치관,45
제일,45
수요,45
기준,45
솔선수범,45
방침,45
공공,45
싸우다,45
여전히,45
재원,45
배우다,45
중대,45
강하다,45
철도,45
기하다,45
다각,45
수도,45
주어지다,45
하나님,45
여기다,45
빨리,45
중심지,45
달하다,45
이어지다,44
아프다,44
사찰,44
지위,44
근대,44
공유,44
강력,44
통치,44
건립,44
추방,44
차세대,43
창의력,43
지리,43
신한국당,43
셋째,43
인내,43
물류,43
스포츠,43
정통,43
유통,43
가하다,43
핵무기,43
임하다,43
이래,43
태도,43
수산,43
피부,43
근원,42
원인,42
과감하다,42
부상,42
차기,42
각자,42
세계인,42
여야,42
라운드,42
제거,42
전환기,42
주력,42
당국,42
담당,42
용납,42
경주,42
과업,42
본인,42
거대,42
굳건히,41
수렴,41
감안,41
뿌리내리다,41
목적,41
촉구,41
절약,41
완전히,41
타결,41
노선,41
거래,41
중추,41
전혀,41
법률,41
권위주의,41
선생,41
채택,41
원수,41
건국,41
국방,41
실감,41
전념,41
부모,41
일반,41
보편,40
신사,40
밑거름,40
적응,40
차지,40
우루과이,40
오래,40
마당,40
직결,40
상응,40
비추다,40
아세안,40
둘러싸다,40
임관,40
그러하다,40
전당,40
수단,40
간부,40
인정,40
들어가다,40
회장,39
낭비,39
지배,39
하늘,39
더욱이,39
공산주의,39
시일,39
떠오르다,39
염원,39
농산물,39
진흥,39
정계,39
정말,39
제품,39
소임,39
복안,39
동남아,39
세계화,39
수입,39
재난,39
마찬가지,39
숙녀,39
평등,39
금리,39
절감,38
없애다,38
공단,38
공영,38
역경,38
당하다,38
소리,38
정립,38
진실,38
점차,38
향후,38
기조,38
불교,38
남기다,38
공비,38
직업,38
