키워드,빈도수
정상,209
선진,209
내용,208
아래,208
실정,208
답변,208
기구,207
기풍,206
인내,206
간첩,206
우수,206
후손,205
도입,205
이유,204
앞서다,204
분단,203
정착,203
전기,203
세력,203
시멘트,202
효율,201
조건,201
방침,201
차지,201
원칙,200
기록,199
너무,199
전선,199
격려,199
지니다,198
헌장,198
이웃,198
집중,197
그동안,197
임무,197
현상,197
뭉치다,197
구조,196
직결,195
이후,194
태도,194
획기적,194
회사,193
적십자,193
지식,193
태평양,193
의미,193
도움,191
선언,191
조사,191
벌써,190
사건,190
원동력,190
장군,189
앞장서다,189
상품,189
비록,188
낭비,188
요구,188
군대,188
주장,188
남기다,188
선전,187
특별,186
불행,186
담당,185
입장,185
노리다,184
정의,184
공화당,183
개인,183
강구,183
들이다,183
국난,183
이루다,183
건투,182
가족,182
민간,182
행복,182
경찰,181
도모,181
창의,181
서두르다,181
신문,181
기초,180
운명,180
배우다,180
올바르다,179
헌정,179
충실,179
과연,178
귀국,178
일성,178
직장,178
여하,178
지향,177
자각,177
매년,177
외화,175
농어민,175
완화,174
부강,173
생명,173
행사,173
사명감,172
결실,172
견지,172
속히,172
진행,171
공급,171
환영,171
분쇄,170
어려움,170
인하다,170
비상,169
사이,168
아주,168
구호,168
제의,167
평가,167
일으키다,167
추가,167
장기,167
누리다,166
구체,166
비추다,166
중소,166
진심,165
재건,165
불안,165
부대,164
또다시,164
국정,164
관련,164
대열,163
간접,163
침략자,163
정권,163
회복,163
지지,163
일선,162
주력,162
각자,162
당장,161
정비,161
대전,161
상당히,161
수지,160
개혁,160
명예,160
위치,160
생존,160
과시,159
경계,159
높이다,159
존경,159
지상,159
조선,159
공비,158
피해,158
경영,158
저력,158
취하다,158
빈곤,158
일층,158
반성,158
바치다,158
사고,157
요인,157
양성,157
중단,157
비단,156
졸업식,156
의존,156
기틀,156
유시,155
창설,155
참으로,155
단합,155
활용,155
정치인,154
마디,154
우호,154
내리다,154
방지,154
넘치다,154
박차,154
언제나,153
선생,153
공산당,153
모으다,153
교육자,153
수년,152
각국,152
해군,152
예술,152
축복,152
없애다,152
부흥,152
원조,152
재원,151
보람차다,151
포기,151
매진,151
수많다,151
빠르다,151
대결,150
내지,150
분위기,149
영향,149
돌아가다,149
되새기다,149
대부분,149
고난,149
축원,148
광복,148
알차다,148
영농,148
터전,148
정진,148
실력,147
편성,147
비로소,147
당원,147
영령,147
하늘,147
앞당기다,147
평소,147
가다듬다,147
사용,147
예산안,146
일찌기,146
연말,145
어업,145
한미,145
무한,145
무역,145
농산물,144
제철,144
인도,144
가슴,144
부담,144
그러하다,144
전환,143
비극,143
출발,143
공고히,143
애로,143
나날이,143
일면,143
선도,142
휴전,142
기약,142
단위,141
혜택,141
절대로,141
야욕,141
일치,141
호남,140
입각,140
토대,140
눈부시다,140
올라가다,140
기강,140
상당,140
메시지,140
각오,140
기술자,139
총회,139
즉각,139
경의,139
학원,139
유산,139
위기,139
철수,138
연대,138
아니하다,138
다만,138
제품,137
결심,137
인권,137
역군,137
도처,137
피땀,136
비판,136
뿌리,136
잘못,136
의무,136
정리,136
아마,135
합치다,135
