,국민,정부,경제,생각,문제,사회,발전,한국,사람,대통령,협력,지금,세계,나라,국가,평화,정책,말씀,정치,감사,역사,기업,노력,시장,참여,시대,관계,지역,기술,혁신,이제,축하,민주주의,성공,모두,문화,투자,오늘,성장,해결,중요,개혁,미래,존경,산업,추진,필요,동북아,수준,지방,언론,얘기,자리,지원,양국,각하,제도,번영,가장,전략,분야,대화,동안,이번,적극,교육,국회,자유,경쟁력,미국,국제,정상,기대,개발,가능,한반도,확대,대한민국,중심,권력,통합,다음,신뢰,시민,안정,회담,남북,과학,기회,변화,귀빈,균형,진심,책임,경쟁,지속,북한,도시,선거,사실,환경,합의,정보,일본,역할,기원,서로,위기,사업,원칙,최선,과제,강화,이상,과정,투명,계속,공동,물론,역량,올해,내외,결과,북핵,건강,공정,희망,상황,극복,마음,구조,평가,안보,전쟁,질서,가치,지도자,관리,중국,관심,이후,건설,스스로,성과,계획,개방,대학,타협,중소기업,교류,기여,인사,국정,회의,준비,시간,갈등,메시지,정말,복지,조금,민주,연구,서비스,방문
성공,81.0,57.0,110.0,81.0,40.0,87.0,64.0,95.0,118.0,41.0,71.0,17.0,61.0,87.0,33.0,56.0,36.0,24.0,19.0,19.0,29.0,67.0,43.0,48.0,21.0,36.0,14.0,40.0,35.0,75.0,1.0,16.0,25.0,0.0,35.0,38.0,16.0,15.0,21.0,23.0,13.0,54.0,11.0,16.0,25.0,40.0,13.0,17.0,8.0,16.0,10.0,18.0,15.0,25.0,13.0,15.0,10.0,22.0,0.0,24.0,13.0,25.0,14.0,39.0,21.0,29.0,3.0,10.0,13.0,14.0,14.0,23.0,19.0,15.0,20.0,25.0,5.0,46.0,2.0,6.0,5.0,10.0,10.0,10.0,13.0,30.0,12.0,12.0,20.0,19.0,7.0,20.0,5.0,7.0,23.0,11.0,21.0,21.0,5.0,0.0,12.0,4.0,14.0,18.0,6.0,41.0,5.0,3.0,21.0,4.0,13.0,5.0,2.0,4.0,17.0,15.0,8.0,12.0,1.0,25.0,4.0,6.0,9.0,6.0,7.0,19.0,11.0,5.0,7.0,5.0,4.0,11.0,6.0,4.0,2.0,5.0,6.0,10.0,6.0,8.0,6.0,14.0,2.0,9.0,14.0,25.0,16.0,10.0,7.0,11.0,14.0,8.0,0.0,18.0,9.0,9.0,4.0,1.0,0.0,0.0,1.0,5.0,6.0,3.0,5.0
모두,127.0,31.0,30.0,54.0,39.0,50.0,42.0,27.0,24.0,34.0,30.0,5.0,26.0,29.0,12.0,33.0,17.0,29.0,30.0,38.0,11.0,10.0,34.0,14.0,21.0,18.0,10.0,13.0,14.0,25.0,2.0,72.0,9.0,35.0,0.0,16.0,3.0,12.0,10.0,16.0,7.0,9.0,17.0,13.0,9.0,7.0,12.0,5.0,2.0,17.0,9.0,11.0,24.0,3.0,13.0,3.0,6.0,10.0,1.0,7.0,4.0,15.0,9.0,42.0,6.0,6.0,9.0,15.0,8.0,3.0,5.0,8.0,11.0,5.0,9.0,11.0,1.0,14.0,5.0,1.0,10.0,4.0,5.0,11.0,5.0,3.0,12.0,11.0,9.0,7.0,5.0,9.0,0.0,5.0,4.0,8.0,12.0,10.0,17.0,8.0,5.0,6.0,6.0,7.0,3.0,130.0,4.0,2.0,5.0,3.0,4.0,7.0,1.0,3.0,6.0,6.0,1.0,7.0,1.0,10.0,3.0,4.0,18.0,3.0,50.0,10.0,9.0,4.0,2.0,13.0,6.0,3.0,1.0,2.0,7.0,5.0,5.0,3.0,4.0,6.0,6.0,2.0,2.0,9.0,1.0,5.0,6.0,6.0,4.0,3.0,5.0,9.0,9.0,13.0,1.0,3.0,7.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,2.0
문화,55.0,75.0,109.0,65.0,36.0,142.0,164.0,68.0,18.0,28.0,90.0,11.0,86.0,62.0,56.0,22.0,24.0,10.0,88.0,4.0,60.0,30.0,60.0,23.0,36.0,81.0,31.0,41.0,38.0,40.0,4.0,16.0,28.0,38.0,16.0,0.0,13.0,8.0,30.0,15.0,30.0,26.0,15.0,15.0,173.0,17.0,14.0,12.0,36.0,23.0,11.0,6.0,21.0,29.0,21.0,9.0,23.0,9.0,0.0,14.0,65.0,62.0,16.0,15.0,16.0,49.0,6.0,6.0,42.0,6.0,13.0,4.0,28.0,7.0,8.0,9.0,32.0,16.0,33.0,8.0,13.0,10.0,22.0,33.0,8.0,7.0,1.0,20.0,15.0,8.0,23.0,10.0,5.0,14.0,17.0,11.0,9.0,71.0,28.0,1.0,35.0,18.0,18.0,13.0,16.0,7.0,14.0,0.0,10.0,20.0,21.0,20.0,7.0,2.0,6.0,24.0,0.0,8.0,3.0,13.0,7.0,21.0,15.0,1.0,19.0,27.0,8.0,11.0,15.0,4.0,14.0,5.0,5.0,2.0,4.0,26.0,8.0,4.0,10.0,15.0,8.0,18.0,2.0,4.0,8.0,6.0,1.0,60.0,6.0,76.0,21.0,5.0,20.0,1.0,3.0,8.0,10.0,3.0,0.0,18.0,0.0,0.0,7.0,22.0,12.0
투자,32.0,90.0,124.0,51.0,26.0,140.0,63.0,121.0,53.0,6.0,86.0,23.0,33.0,53.0,77.0,11.0,57.0,27.0,6.0,4.0,3.0,183.0,39.0,67.0,28.0,10.0,13.0,28.0,90.0,41.0,9.0,0.0,10.0,16.0,3.0,13.0,0.0,9.0,78.0,12.0,32.0,19.0,33.0,7.0,47.0,33.0,29.0,17.0,34.0,20.0,1.0,14.0,9.0,70.0,34.0,6.0,20.0,4.0,0.0,63.0,65.0,4.0,4.0,22.0,58.0,34.0,0.0,19.0,30.0,8.0,6.0,8.0,13.0,72.0,13.0,3.0,115.0,3.0,19.0,0.0,8.0,8.0,4.0,2.0,13.0,3.0,13.0,44.0,37.0,3.0,2.0,23.0,0.0,1.0,11.0,44.0,11.0,11.0,1.0,3.0,48.0,10.0,13.0,11.0,8.0,0.0,8.0,14.0,45.0,1.0,8.0,5.0,33.0,22.0,10.0,7.0,5.0,12.0,1.0,7.0,11.0,2.0,11.0,1.0,6.0,7.0,6.0,2.0,10.0,2.0,11.0,11.0,11.0,1.0,1.0,16.0,8.0,4.0,16.0,13.0,10.0,25.0,1.0,12.0,37.0,21.0,6.0,0.0,12.0,18.0,8.0,2.0,0.0,6.0,5.0,2.0,2.0,0.0,0.0,48.0,5.0,2.0,40.0,11.0,9.0
오늘,70.0,42.0,34.0,69.0,29.0,18.0,23.0,26.0,11.0,54.0,44.0,6.0,18.0,26.0,26.0,19.0,6.0,46.0,8.0,31.0,23.0,9.0,13.0,11.0,19.0,13.0,24.0,12.0,11.0,9.0,0.0,23.0,10.0,15.0,12.0,8.0,9.0,0.0,7.0,5.0,8.0,1.0,16.0,76.0,7.0,6.0,4.0,4.0,1.0,7.0,1.0,10.0,91.0,4.0,43.0,71.0,0.0,11.0,0.0,3.0,6.0,18.0,8.0,4.0,1.0,6.0,7.0,14.0,4.0,10.0,10.0,52.0,9.0,1.0,6.0,2.0,7.0,26.0,3.0,1.0,3.0,3.0,2.0,14.0,1.0,51.0,2.0,5.0,11.0,3.0,50.0,1.0,8.0,4.0,2.0,3.0,1.0,10.0,4.0,5.0,4.0,4.0,9.0,6.0,1.0,10.0,3.0,2.0,5.0,1.0,2.0,6.0,4.0,1.0,3.0,3.0,2.0,8.0,0.0,5.0,1.0,37.0,10.0,3.0,3.0,1.0,6.0,1.0,7.0,3.0,3.0,2.0,0.0,8.0,1.0,0.0,13.0,2.0,1.0,4.0,5.0,6.0,0.0,3.0,5.0,0.0,2.0,2.0,1.0,7.0,5.0,11.0,8.0,13.0,5.0,12.0,8.0,2.0,0.0,2.0,0.0,13.0,3.0,0.0,16.0
성장,65.0,72.0,357.0,41.0,34.0,98.0,104.0,74.0,17.0,15.0,30.0,13.0,105.0,38.0,60.0,13.0,68.0,25.0,13.0,3.0,5.0,50.0,28.0,69.0,24.0,37.0,8.0,36.0,83.0,68.0,6.0,2.0,32.0,21.0,10.0,30.0,78.0,7.0,0.0,14.0,27.0,29.0,59.0,14.0,105.0,28.0,19.0,23.0,39.0,22.0,7.0,13.0,12.0,25.0,10.0,21.0,8.0,7.0,0.0,58.0,33.0,1.0,28.0,9.0,21.0,15.0,0.0,16.0,29.0,7.0,9.0,5.0,12.0,38.0,37.0,0.0,26.0,16.0,26.0,0.0,24.0,11.0,4.0,8.0,34.0,0.0,1.0,27.0,12.0,7.0,10.0,42.0,2.0,3.0,16.0,124.0,0.0,7.0,1.0,4.0,25.0,4.0,7.0,10.0,3.0,0.0,2.0,13.0,10.0,2.0,9.0,6.0,19.0,21.0,10.0,5.0,15.0,8.0,0.0,11.0,11.0,11.0,14.0,2.0,13.0,8.0,5.0,6.0,19.0,4.0,10.0,2.0,3.0,7.0,0.0,13.0,10.0,7.0,16.0,5.0,25.0,5.0,2.0,15.0,18.0,13.0,10.0,2.0,28.0,4.0,13.0,1.0,3.0,7.0,10.0,6.0,5.0,0.0,0.0,35.0,0.0,7.0,22.0,9.0,0.0
해결,47.0,121.0,59.0,87.0,735.0,69.0,38.0,85.0,29.0,80.0,97.0,15.0,19.0,30.0,30.0,392.0,57.0,20.0,51.0,2.0,18.0,10.0,74.0,27.0,43.0,33.0,56.0,26.0,17.0,5.0,5.0,0.0,6.0,23.0,16.0,15.0,12.0,5.0,14.0,0.0,22.0,27.0,24.0,24.0,7.0,29.0,27.0,49.0,5.0,2.0,8.0,11.0,6.0,14.0,31.0,6.0,27.0,49.0,0.0,5.0,3.0,120.0,13.0,7.0,46.0,10.0,23.0,13.0,2.0,50.0,46.0,42.0,34.0,7.0,20.0,101.0,1.0,1.0,3.0,2.0,9.0,12.0,22.0,1.0,35.0,81.0,42.0,1.0,8.0,7.0,1.0,5.0,0.0,28.0,11.0,25.0,146.0,1.0,10.0,8.0,10.0,46.0,12.0,66.0,31.0,1.0,11.0,10.0,7.0,43.0,16.0,65.0,22.0,10.0,28.0,17.0,5.0,32.0,0.0,8.0,4.0,1.0,9.0,244.0,1.0,7.0,20.0,20.0,2.0,4.0,19.0,10.0,18.0,12.0,9.0,1.0,9.0,8.0,12.0,19.0,16.0,3.0,1.0,3.0,10.0,19.0,4.0,18.0,2.0,15.0,13.0,4.0,24.0,5.0,3.0,8.0,30.0,2.0,0.0,1.0,2.0,4.0,0.0,3.0,15.0
중요,84.0,45.0,93.0,152.0,112.0,78.0,36.0,40.0,41.0,50.0,64.0,13.0,23.0,30.0,49.0,43.0,43.0,34.0,46.0,1.0,23.0,41.0,20.0,43.0,28.0,24.0,57.0,17.0,28.0,19.0,2.0,0.0,18.0,13.0,7.0,30.0,32.0,8.0,27.0,22.0,0.0,17.0,21.0,7.0,25.0,4.0,17.0,14.0,20.0,16.0,30.0,18.0,11.0,14.0,22.0,2.0,14.0,8.0,0.0,26.0,7.0,8.0,6.0,13.0,7.0,12.0,18.0,19.0,12.0,20.0,15.0,6.0,7.0,6.0,11.0,18.0,12.0,4.0,11.0,12.0,16.0,13.0,31.0,8.0,24.0,6.0,22.0,20.0,10.0,11.0,6.0,25.0,0.0,13.0,12.0,14.0,8.0,4.0,13.0,8.0,15.0,19.0,16.0,7.0,57.0,0.0,12.0,12.0,6.0,10.0,1.0,26.0,3.0,4.0,9.0,9.0,2.0,7.0,0.0,8.0,5.0,4.0,9.0,18.0,6.0,11.0,4.0,11.0,5.0,1.0,6.0,5.0,17.0,5.0,7.0,18.0,15.0,17.0,10.0,7.0,11.0,4.0,9.0,11.0,4.0,7.0,4.0,7.0,6.0,10.0,2.0,3.0,14.0,4.0,2.0,6.0,6.0,1.0,0.0,11.0,1.0,3.0,9.0,6.0,8.0
개혁,106.0,137.0,109.0,62.0,63.0,68.0,34.0,27.0,25.0,37.0,19.0,22.0,9.0,26.0,21.0,47.0,47.0,17.0,124.0,0.0,8.0,28.0,22.0,95.0,49.0,27.0,20.0,10.0,20.0,47.0,6.0,0.0,23.0,54.0,9.0,26.0,19.0,1.0,29.0,27.0,17.0,0.0,9.0,16.0,7.0,118.0,41.0,23.0,11.0,16.0,51.0,11.0,5.0,14.0,8.0,27.0,84.0,17.0,0.0,19.0,13.0,15.0,18.0,18.0,27.0,27.0,23.0,13.0,16.0,10.0,10.0,3.0,13.0,7.0,15.0,19.0,10.0,8.0,17.0,7.0,34.0,14.0,9.0,2.0,23.0,2.0,4.0,4.0,7.0,13.0,4.0,9.0,0.0,8.0,10.0,47.0,43.0,3.0,25.0,2.0,7.0,7.0,5.0,20.0,9.0,0.0,2.0,16.0,6.0,7.0,3.0,61.0,12.0,8.0,17.0,38.0,5.0,5.0,1.0,4.0,2.0,3.0,10.0,6.0,2.0,27.0,5.0,10.0,14.0,1.0,45.0,6.0,0.0,2.0,8.0,2.0,2.0,2.0,4.0,14.0,9.0,6.0,4.0,14.0,19.0,60.0,12.0,6.0,1.0,3.0,5.0,0.0,13.0,1.0,13.0,4.0,4.0,0.0,0.0,8.0,0.0,11.0,2.0,6.0,2.0
미래,85.0,38.0,83.0,75.0,65.0,52.0,77.0,77.0,18.0,11.0,72.0,13.0,46.0,54.0,58.0,61.0,22.0,9.0,11.0,0.0,54.0,13.0,25.0,45.0,16.0,55.0,69.0,29.0,34.0,30.0,0.0,6.0,23.0,11.0,17.0,15.0,33.0,16.0,59.0,24.0,21.0,9.0,0.0,21.0,16.0,20.0,18.0,61.0,5.0,12.0,16.0,19.0,7.0,14.0,67.0,7.0,14.0,48.0,0.0,33.0,10.0,6.0,2.0,18.0,13.0,16.0,0.0,11.0,12.0,5.0,7.0,21.0,22.0,24.0,28.0,19.0,10.0,29.0,13.0,3.0,17.0,11.0,8.0,14.0,10.0,11.0,10.0,17.0,15.0,16.0,9.0,11.0,4.0,14.0,3.0,15.0,13.0,12.0,1.0,3.0,16.0,14.0,9.0,35.0,16.0,2.0,10.0,11.0,10.0,3.0,4.0,31.0,3.0,6.0,2.0,7.0,2.0,42.0,0.0,12.0,1.0,8.0,10.0,6.0,8.0,8.0,32.0,13.0,16.0,24.0,3.0,7.0,24.0,8.0,20.0,9.0,22.0,12.0,9.0,7.0,2.0,5.0,7.0,2.0,8.0,8.0,7.0,0.0,2.0,10.0,4.0,2.0,6.0,3.0,52.0,5.0,8.0,0.0,0.0,12.0,1.0,3.0,11.0,0.0,8.0
존경,285.0,51.0,94.0,42.0,46.0,39.0,35.0,55.0,14.0,95.0,38.0,7.0,51.0,38.0,39.0,93.0,18.0,72.0,9.0,124.0,28.0,5.0,18.0,21.0,20.0,35.0,14.0,22.0,19.0,12.0,1.0,71.0,22.0,16.0,13.0,15.0,7.0,76.0,14.0,24.0,7.0,16.0,21.0,0.0,5.0,18.0,8.0,35.0,0.0,4.0,4.0,0.0,70.0,4.0,42.0,142.0,3.0,22.0,0.0,5.0,4.0,12.0,12.0,10.0,14.0,6.0,39.0,10.0,1.0,16.0,26.0,27.0,10.0,4.0,5.0,34.0,1.0,14.0,7.0,4.0,3.0,1.0,13.0,57.0,11.0,7.0,3.0,22.0,8.0,5.0,203.0,5.0,78.0,4.0,13.0,11.0,31.0,3.0,0.0,2.0,9.0,6.0,12.0,40.0,14.0,3.0,7.0,4.0,2.0,2.0,6.0,8.0,1.0,6.0,2.0,10.0,1.0,15.0,1.0,2.0,4.0,147.0,3.0,4.0,8.0,3.0,14.0,0.0,3.0,13.0,0.0,3.0,2.0,10.0,3.0,2.0,56.0,1.0,9.0,5.0,7.0,5.0,1.0,5.0,3.0,8.0,4.0,0.0,1.0,4.0,6.0,16.0,7.0,30.0,3.0,3.0,5.0,0.0,0.0,1.0,0.0,13.0,2.0,2.0,23.0
산업,26.0,53.0,84.0,27.0,21.0,27.0,176.0,51.0,12.0,8.0,57.0,8.0,92.0,31.0,43.0,0.0,38.0,10.0,2.0,6.0,5.0,67.0,44.0,23.0,17.0,33.0,9.0,63.0,143.0,56.0,1.0,8.0,4.0,25.0,9.0,173.0,47.0,7.0,105.0,7.0,25.0,7.0,16.0,5.0,0.0,41.0,8.0,16.0,29.0,28.0,4.0,2.0,12.0,55.0,11.0,1.0,9.0,3.0,0.0,41.0,65.0,2.0,7.0,7.0,36.0,27.0,5.0,6.0,83.0,5.0,11.0,0.0,10.0,43.0,10.0,0.0,33.0,2.0,39.0,0.0,4.0,6.0,0.0,2.0,4.0,0.0,2.0,58.0,9.0,12.0,5.0,15.0,3.0,3.0,11.0,15.0,4.0,30.0,0.0,2.0,30.0,3.0,40.0,3.0,16.0,1.0,4.0,1.0,15.0,2.0,14.0,14.0,36.0,4.0,5.0,1.0,4.0,5.0,3.0,11.0,3.0,5.0,3.0,0.0,14.0,2.0,4.0,1.0,2.0,0.0,40.0,3.0,1.0,4.0,1.0,51.0,4.0,8.0,13.0,8.0,1.0,16.0,1.0,12.0,16.0,8.0,22.0,1.0,31.0,8.0,18.0,1.0,6.0,3.0,3.0,5.0,3.0,0.0,0.0,4.0,0.0,4.0,25.0,112.0,2.0
추진,63.0,177.0,75.0,23.0,55.0,44.0,98.0,56.0,9.0,34.0,91.0,6.0,25.0,27.0,69.0,98.0,142.0,15.0,14.0,3.0,6.0,41.0,31.0,34.0,62.0,22.0,32.0,42.0,45.0,65.0,2.0,4.0,4.0,40.0,7.0,17.0,33.0,6.0,28.0,29.0,4.0,118.0,20.0,18.0,41.0,0.0,16.0,39.0,7.0,46.0,7.0,1.0,3.0,40.0,16.0,21.0,24.0,41.0,0.0,57.0,23.0,19.0,10.0,9.0,82.0,21.0,14.0,46.0,14.0,18.0,13.0,25.0,21.0,41.0,9.0,40.0,31.0,4.0,40.0,2.0,14.0,13.0,14.0,6.0,26.0,22.0,35.0,23.0,2.0,10.0,6.0,52.0,2.0,13.0,9.0,58.0,33.0,31.0,9.0,0.0,16.0,19.0,11.0,36.0,10.0,1.0,4.0,6.0,95.0,8.0,8.0,33.0,25.0,7.0,7.0,19.0,5.0,24.0,2.0,12.0,15.0,6.0,7.0,8.0,5.0,7.0,8.0,9.0,4.0,1.0,28.0,8.0,14.0,5.0,6.0,7.0,7.0,15.0,6.0,9.0,8.0,46.0,4.0,21.0,56.0,27.0,18.0,0.0,7.0,21.0,9.0,0.0,21.0,5.0,9.0,3.0,5.0,0.0,0.0,15.0,1.0,0.0,15.0,18.0,5.0
필요,97.0,59.0,54.0,97.0,77.0,91.0,43.0,32.0,46.0,41.0,60.0,13.0,16.0,24.0,39.0,32.0,47.0,23.0,42.0,1.0,15.0,51.0,52.0,38.0,15.0,16.0,20.0,20.0,20.0,22.0,8.0,0.0,17.0,13.0,12.0,14.0,29.0,4.0,19.0,27.0,17.0,41.0,18.0,8.0,8.0,16.0,0.0,13.0,25.0,12.0,24.0,21.0,9.0,23.0,9.0,1.0,34.0,11.0,0.0,44.0,12.0,25.0,8.0,9.0,22.0,29.0,15.0,16.0,7.0,8.0,10.0,10.0,4.0,9.0,14.0,13.0,13.0,5.0,6.0,4.0,13.0,25.0,12.0,5.0,11.0,6.0,11.0,6.0,8.0,16.0,0.0,21.0,1.0,14.0,16.0,11.0,25.0,8.0,8.0,8.0,12.0,9.0,11.0,9.0,12.0,0.0,6.0,7.0,6.0,10.0,3.0,9.0,14.0,4.0,15.0,13.0,2.0,10.0,2.0,10.0,2.0,0.0,6.0,7.0,1.0,20.0,9.0,7.0,10.0,3.0,10.0,8.0,5.0,4.0,3.0,9.0,10.0,9.0,10.0,3.0,1.0,5.0,9.0,2.0,3.0,15.0,19.0,12.0,8.0,3.0,4.0,4.0,6.0,2.0,12.0,25.0,12.0,0.0,0.0,13.0,0.0,7.0,15.0,20.0,2.0
동북아,64.0,57.0,175.0,23.0,81.0,30.0,76.0,109.0,10.0,11.0,130.0,8.0,82.0,29.0,71.0,352.0,20.0,15.0,3.0,2.0,48.0,5.0,29.0,37.0,39.0,223.0,40.0,87.0,12.0,13.0,2.0,7.0,22.0,17.0,5.0,12.0,17.0,4.0,23.0,49.0,14.0,23.0,61.0,35.0,16.0,39.0,13.0,0.0,2.0,10.0,1.0,12.0,21.0,11.0,51.0,2.0,7.0,189.0,0.0,37.0,4.0,14.0,5.0,6.0,25.0,0.0,1.0,11.0,4.0,18.0,21.0,23.0,23.0,15.0,10.0,128.0,9.0,22.0,147.0,0.0,36.0,5.0,10.0,3.0,35.0,15.0,20.0,5.0,8.0,10.0,8.0,23.0,3.0,7.0,9.0,13.0,38.0,21.0,0.0,3.0,3.0,14.0,6.0,40.0,40.0,0.0,10.0,1.0,3.0,3.0,5.0,9.0,12.0,6.0,2.0,6.0,2.0,48.0,2.0,9.0,2.0,8.0,6.0,30.0,1.0,4.0,11.0,4.0,7.0,8.0,10.0,6.0,52.0,8.0,69.0,4.0,18.0,5.0,13.0,6.0,4.0,11.0,1.0,4.0,16.0,14.0,1.0,0.0,0.0,7.0,25.0,2.0,12.0,4.0,12.0,2.0,9.0,4.0,0.0,0.0,0.0,1.0,14.0,1.0,5.0
수준,74.0,64.0,79.0,52.0,28.0,74.0,24.0,65.0,38.0,22.0,21.0,14.0,137.0,65.0,47.0,3.0,30.0,9.0,32.0,0.0,8.0,27.0,18.0,36.0,22.0,14.0,15.0,12.0,62.0,26.0,7.0,0.0,27.0,8.0,2.0,36.0,34.0,1.0,39.0,5.0,20.0,11.0,5.0,0.0,29.0,7.0,25.0,2.0,0.0,6.0,23.0,18.0,3.0,17.0,11.0,1.0,17.0,1.0,0.0,10.0,28.0,9.0,8.0,5.0,6.0,38.0,7.0,5.0,29.0,28.0,19.0,5.0,10.0,18.0,13.0,4.0,10.0,3.0,10.0,5.0,20.0,9.0,18.0,10.0,20.0,2.0,4.0,15.0,7.0,6.0,1.0,10.0,0.0,6.0,27.0,5.0,3.0,23.0,8.0,12.0,15.0,23.0,31.0,15.0,1.0,0.0,1.0,9.0,13.0,6.0,4.0,5.0,6.0,18.0,9.0,14.0,6.0,4.0,2.0,8.0,13.0,2.0,11.0,3.0,3.0,6.0,2.0,4.0,4.0,4.0,11.0,17.0,4.0,5.0,1.0,6.0,3.0,9.0,4.0,6.0,6.0,9.0,0.0,5.0,10.0,5.0,10.0,13.0,7.0,5.0,2.0,2.0,4.0,2.0,1.0,4.0,7.0,0.0,0.0,36.0,0.0,4.0,17.0,23.0,0.0
지방,23.0,132.0,23.0,39.0,16.0,13.0,196.0,10.0,29.0,17.0,34.0,13.0,6.0,16.0,64.0,2.0,83.0,11.0,14.0,3.0,4.0,74.0,22.0,8.0,41.0,49.0,7.0,114.0,20.0,110.0,2.0,7.0,5.0,16.0,17.0,23.0,20.0,7.0,22.0,2.0,16.0,16.0,12.0,4.0,28.0,46.0,12.0,10.0,6.0,0.0,18.0,1.0,9.0,40.0,1.0,3.0,17.0,2.0,0.0,33.0,3.0,3.0,18.0,11.0,12.0,22.0,27.0,1.0,29.0,2.0,3.0,1.0,8.0,15.0,15.0,0.0,24.0,6.0,28.0,9.0,11.0,6.0,2.0,17.0,5.0,0.0,1.0,10.0,4.0,7.0,3.0,100.0,3.0,5.0,10.0,11.0,0.0,41.0,34.0,2.0,9.0,1.0,7.0,2.0,10.0,1.0,4.0,0.0,31.0,8.0,2.0,16.0,22.0,12.0,4.0,4.0,9.0,5.0,1.0,32.0,17.0,3.0,1.0,0.0,0.0,3.0,6.0,4.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,9.0,5.0,6.0,1.0,22.0,12.0,5.0,30.0,0.0,87.0,4.0,33.0,0.0,5.0,3.0,12.0,5.0,5.0,0.0,18.0,3.0,0.0,8.0,4.0,2.0,21.0,3.0,1.0
언론,79.0,119.0,18.0,58.0,55.0,90.0,29.0,12.0,49.0,60.0,14.0,13.0,13.0,16.0,19.0,1.0,26.0,18.0,92.0,5.0,13.0,11.0,20.0,33.0,47.0,18.0,73.0,24.0,0.0,5.0,2.0,3.0,33.0,10.0,9.0,11.0,1.0,1.0,7.0,8.0,30.0,51.0,16.0,4.0,4.0,7.0,24.0,1.0,23.0,18.0,0.0,31.0,17.0,1.0,0.0,0.0,23.0,0.0,0.0,8.0,0.0,5.0,18.0,4.0,2.0,2.0,18.0,86.0,2.0,10.0,2.0,10.0,8.0,1.0,13.0,1.0,2.0,4.0,3.0,129.0,7.0,2.0,5.0,76.0,3.0,1.0,1.0,0.0,4.0,8.0,2.0,19.0,4.0,55.0,13.0,3.0,6.0,0.0,10.0,31.0,7.0,6.0,7.0,6.0,23.0,0.0,0.0,19.0,2.0,4.0,0.0,14.0,0.0,2.0,6.0,6.0,6.0,1.0,0.0,2.0,2.0,2.0,6.0,1.0,15.0,28.0,5.0,8.0,2.0,3.0,12.0,8.0,1.0,0.0,2.0,3.0,6.0,3.0,0.0,7.0,21.0,1.0,16.0,3.0,2.0,2.0,11.0,9.0,1.0,1.0,14.0,5.0,13.0,4.0,2.0,0.0,10.0,0.0,0.0,5.0,1.0,10.0,1.0,0.0,0.0
얘기,43.0,70.0,82.0,68.0,84.0,33.0,4.0,31.0,122.0,66.0,18.0,18.0,8.0,37.0,26.0,15.0,28.0,41.0,35.0,1.0,15.0,31.0,2.0,31.0,16.0,27.0,12.0,3.0,11.0,9.0,9.0,0.0,15.0,18.0,11.0,6.0,14.0,10.0,13.0,11.0,18.0,11.0,19.0,0.0,2.0,1.0,21.0,12.0,18.0,1.0,31.0,0.0,19.0,7.0,4.0,0.0,12.0,7.0,0.0,4.0,5.0,12.0,12.0,6.0,3.0,12.0,5.0,21.0,9.0,23.0,2.0,8.0,2.0,3.0,12.0,3.0,2.0,6.0,10.0,11.0,12.0,33.0,8.0,3.0,5.0,8.0,10.0,8.0,3.0,9.0,0.0,4.0,2.0,8.0,6.0,1.0,8.0,2.0,8.0,26.0,9.0,11.0,13.0,5.0,1.0,0.0,0.0,12.0,4.0,5.0,0.0,2.0,4.0,6.0,4.0,2.0,5.0,4.0,1.0,1.0,5.0,0.0,6.0,4.0,0.0,10.0,5.0,10.0,2.0,6.0,6.0,16.0,4.0,7.0,2.0,5.0,8.0,2.0,2.0,1.0,5.0,3.0,0.0,4.0,1.0,0.0,5.0,3.0,4.0,2.0,0.0,2.0,6.0,2.0,1.0,7.0,1.0,0.0,0.0,4.0,2.0,4.0,6.0,6.0,2.0
자리,84.0,39.0,65.0,82.0,36.0,14.0,18.0,41.0,32.0,72.0,46.0,8.0,35.0,22.0,17.0,20.0,10.0,51.0,21.0,90.0,22.0,13.0,12.0,10.0,11.0,14.0,8.0,20.0,12.0,17.0,2.0,30.0,7.0,15.0,24.0,21.0,9.0,91.0,12.0,6.0,11.0,5.0,7.0,70.0,12.0,3.0,9.0,21.0,3.0,9.0,17.0,19.0,0.0,4.0,46.0,30.0,2.0,10.0,0.0,4.0,5.0,19.0,13.0,17.0,5.0,1.0,14.0,6.0,4.0,8.0,14.0,19.0,19.0,1.0,10.0,7.0,2.0,10.0,22.0,15.0,3.0,1.0,3.0,26.0,2.0,8.0,2.0,13.0,11.0,5.0,56.0,1.0,21.0,8.0,4.0,4.0,3.0,5.0,7.0,4.0,7.0,6.0,16.0,12.0,1.0,17.0,2.0,1.0,5.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,4.0,5.0,0.0,3.0,3.0,47.0,2.0,4.0,6.0,3.0,10.0,6.0,4.0,13.0,7.0,5.0,0.0,6.0,6.0,9.0,47.0,7.0,7.0,8.0,6.0,3.0,0.0,7.0,4.0,0.0,8.0,8.0,3.0,4.0,0.0,22.0,16.0,19.0,2.0,11.0,3.0,0.0,0.0,2.0,5.0,4.0,1.0,0.0,10.0
