,세계,국민,경제,생각,나라,대한민국,한국,정부,국가,사회,위기,성장,발전,감사,기업,대통령,오늘,지금,협력,모두,정상,회의,국제,사람,노력,사랑,이제,자리,말씀,변화,문제,미래,시대,존경,녹색,축하,산업,기술,문화,이번,역사,지역,가장,선진,극복,일자리,개발,금융,양국,지원,시장,중요,평화,마음,관계,투자,기회,북한,적극,미국,성공,필요,정책,희망,글로벌,분야,환경,기대,올해,교육,서울,진심,이야기,정말,사실,기여,확대,어려움,자유,역할,서민,기후,정신,도움,인류,에너지,시작,생활,물론,무역,도전,서로,가능,행복,동안,사업,안보,건강,일류,기원,경험,선진국,귀빈,이후,민주,과학,중국,젊은이,중심,대학,내외,방문,일본,이상,지속,추진,강화,안전,민주주의,준비,계기,개최,가족,대회,복지,시민,자랑,최근,정치,평가,번영,목표,제도,지난해,수준,시간,가치,참여,전쟁,성과,계속,경쟁력,전국,공동,의미,여러분,신뢰,대응,최선,실천,먼저,자원,한미,계획,최고,가정,학생,도시,조금,해결,과제,참석,관심,회복,합의
신뢰,29.0,116.0,42.0,23.0,13.0,13.0,13.0,26.0,22.0,42.0,17.0,16.0,14.0,5.0,10.0,12.0,1.0,7.0,26.0,5.0,20.0,16.0,21.0,7.0,22.0,30.0,0.0,5.0,3.0,3.0,19.0,11.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,5.0,0.0,8.0,8.0,0.0,3.0,12.0,17.0,2.0,18.0,22.0,16.0,8.0,34.0,0.0,3.0,3.0,5.0,12.0,2.0,13.0,10.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,3.0,0.0,4.0,0.0,1.0,8.0,7.0,10.0,3.0,6.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,4.0,3.0,5.0,1.0,2.0,4.0,0.0,2.0,0.0,0.0,10.0,0.0,3.0,1.0,0.0,2.0,1.0,2.0,7.0,7.0,6.0,14.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,4.0,1.0,5.0,1.0,4.0,0.0,1.0,0.0,4.0,1.0,12.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,22.0,7.0
대응,53.0,14.0,64.0,14.0,9.0,12.0,20.0,41.0,37.0,19.0,83.0,56.0,20.0,2.0,5.0,8.0,3.0,3.0,31.0,5.0,25.0,25.0,37.0,4.0,17.0,1.0,2.0,5.0,5.0,140.0,20.0,9.0,12.0,0.0,50.0,0.0,13.0,28.0,2.0,12.0,2.0,9.0,0.0,5.0,9.0,5.0,14.0,31.0,12.0,6.0,12.0,8.0,3.0,0.0,3.0,4.0,5.0,9.0,29.0,4.0,2.0,13.0,23.0,4.0,18.0,12.0,27.0,8.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,7.0,8.0,1.0,0.0,9.0,1.0,120.0,2.0,0.0,17.0,20.0,3.0,4.0,1.0,2.0,8.0,0.0,4.0,2.0,1.0,13.0,12.0,1.0,2.0,0.0,1.0,7.0,0.0,5.0,0.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,6.0,7.0,16.0,9.0,0.0,3.0,4.0,4.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,7.0,3.0,0.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,0.0,21.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0,6.0,17.0,0.0,2.0,3.0,9.0
최선,20.0,52.0,36.0,12.0,13.0,18.0,9.0,105.0,11.0,22.0,20.0,13.0,7.0,4.0,11.0,6.0,2.0,1.0,9.0,12.0,12.0,17.0,10.0,7.0,33.0,4.0,0.0,3.0,5.0,6.0,6.0,5.0,6.0,3.0,6.0,2.0,1.0,3.0,3.0,7.0,3.0,6.0,0.0,9.0,11.0,20.0,6.0,1.0,2.0,8.0,3.0,0.0,4.0,11.0,3.0,5.0,4.0,2.0,4.0,1.0,9.0,4.0,12.0,8.0,2.0,1.0,6.0,5.0,3.0,5.0,6.0,2.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,4.0,9.0,4.0,5.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,2.0,1.0,4.0,6.0,8.0,4.0,4.0,5.0,5.0,1.0,2.0,3.0,0.0,5.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,2.0,7.0,1.0,5.0,3.0,3.0,11.0,3.0,9.0,4.0,9.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,5.0,3.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,7.0,4.0,0.0,1.0,7.0,0.0
실천,24.0,34.0,19.0,30.0,14.0,11.0,10.0,12.0,25.0,52.0,7.0,24.0,17.0,4.0,11.0,3.0,6.0,2.0,10.0,14.0,16.0,21.0,11.0,15.0,10.0,29.0,2.0,5.0,5.0,14.0,4.0,8.0,15.0,4.0,26.0,3.0,3.0,0.0,7.0,11.0,6.0,5.0,0.0,19.0,5.0,6.0,6.0,1.0,2.0,3.0,1.0,18.0,4.0,13.0,3.0,1.0,3.0,0.0,13.0,2.0,10.0,9.0,17.0,3.0,10.0,1.0,8.0,11.0,0.0,11.0,8.0,3.0,1.0,0.0,1.0,5.0,0.0,3.0,0.0,3.0,5.0,4.0,29.0,2.0,5.0,8.0,0.0,23.0,0.0,4.0,2.0,5.0,6.0,1.0,6.0,5.0,2.0,2.0,9.0,0.0,2.0,5.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,2.0,2.0,1.0,3.0,4.0,2.0,15.0,2.0,2.0,10.0,3.0,2.0,1.0,3.0,4.0,0.0,3.0,6.0,4.0,1.0,3.0,0.0,6.0,1.0,1.0,6.0,2.0,0.0,5.0,0.0,1.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,1.0,14.0
먼저,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
자원,44.0,10.0,23.0,14.0,38.0,8.0,19.0,11.0,22.0,10.0,18.0,33.0,18.0,12.0,5.0,8.0,4.0,4.0,23.0,2.0,6.0,2.0,6.0,7.0,5.0,1.0,1.0,4.0,6.0,14.0,17.0,12.0,12.0,1.0,12.0,1.0,19.0,29.0,9.0,10.0,4.0,7.0,0.0,4.0,5.0,1.0,44.0,6.0,9.0,7.0,9.0,17.0,2.0,1.0,3.0,11.0,3.0,2.0,9.0,3.0,1.0,3.0,5.0,4.0,4.0,11.0,13.0,4.0,1.0,10.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,1.0,0.0,4.0,1.0,15.0,0.0,2.0,9.0,46.0,2.0,6.0,1.0,2.0,2.0,0.0,8.0,1.0,2.0,10.0,6.0,1.0,2.0,1.0,15.0,2.0,0.0,6.0,0.0,9.0,3.0,9.0,3.0,1.0,0.0,5.0,0.0,3.0,10.0,4.0,7.0,1.0,0.0,8.0,2.0,0.0,3.0,8.0,2.0,6.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,6.0,0.0,3.0,7.0,7.0,4.0,1.0,4.0,9.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,2.0
한미,34.0,9.0,51.0,20.0,24.0,11.0,10.0,9.0,18.0,5.0,5.0,11.0,33.0,4.0,2.0,21.0,5.0,5.0,25.0,6.0,24.0,4.0,2.0,3.0,9.0,1.0,3.0,10.0,3.0,6.0,14.0,25.0,2.0,1.0,1.0,8.0,3.0,7.0,1.0,7.0,8.0,10.0,0.0,3.0,4.0,9.0,0.0,0.0,65.0,1.0,7.0,9.0,16.0,0.0,57.0,6.0,8.0,8.0,2.0,34.0,3.0,5.0,1.0,0.0,4.0,8.0,1.0,4.0,6.0,0.0,0.0,1.0,2.0,0.0,3.0,11.0,10.0,2.0,9.0,7.0,0.0,2.0,1.0,3.0,1.0,1.0,6.0,0.0,1.0,8.0,3.0,1.0,2.0,0.0,5.0,0.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,5.0,2.0,3.0,1.0,3.0,16.0,1.0,3.0,0.0,13.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0,5.0,9.0,0.0,0.0,1.0,3.0,1.0,14.0,0.0,5.0,9.0,1.0,3.0,0.0,14.0,1.0,0.0,11.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,6.0
계획,25.0,13.0,32.0,18.0,10.0,10.0,33.0,66.0,32.0,12.0,1.0,53.0,22.0,0.0,14.0,21.0,3.0,2.0,14.0,0.0,22.0,12.0,11.0,7.0,3.0,0.0,3.0,2.0,5.0,13.0,8.0,7.0,4.0,3.0,44.0,0.0,14.0,13.0,3.0,8.0,2.0,11.0,0.0,3.0,0.0,8.0,48.0,3.0,4.0,9.0,4.0,3.0,0.0,2.0,5.0,17.0,2.0,7.0,15.0,6.0,9.0,4.0,10.0,2.0,13.0,9.0,25.0,3.0,13.0,4.0,8.0,0.0,1.0,0.0,0.0,3.0,14.0,1.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,8.0,4.0,4.0,0.0,1.0,1.0,0.0,5.0,1.0,2.0,28.0,4.0,1.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,5.0,9.0,4.0,1.0,1.0,0.0,12.0,5.0,12.0,4.0,31.0,3.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,15.0,4.0,7.0,7.0,0.0,4.0,11.0,0.0,5.0,4.0,2.0,1.0,2.0,1.0,0.0,2.0,4.0,0.0,6.0,0.0,8.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,2.0,1.0,2.0,1.0,1.0,13.0
최고,159.0,11.0,22.0,36.0,17.0,25.0,28.0,18.0,28.0,16.0,6.0,24.0,15.0,3.0,30.0,7.0,1.0,3.0,7.0,3.0,6.0,6.0,15.0,14.0,11.0,2.0,0.0,6.0,7.0,6.0,2.0,9.0,7.0,1.0,13.0,3.0,17.0,49.0,16.0,3.0,9.0,7.0,0.0,7.0,1.0,24.0,5.0,4.0,1.0,10.0,2.0,14.0,1.0,3.0,4.0,6.0,2.0,0.0,6.0,9.0,4.0,2.0,13.0,4.0,6.0,23.0,4.0,4.0,7.0,36.0,3.0,2.0,8.0,0.0,1.0,5.0,6.0,3.0,1.0,2.0,3.0,6.0,4.0,1.0,8.0,6.0,3.0,6.0,1.0,1.0,14.0,0.0,3.0,3.0,3.0,14.0,3.0,2.0,4.0,4.0,4.0,15.0,0.0,9.0,2.0,23.0,5.0,18.0,4.0,11.0,0.0,2.0,5.0,6.0,3.0,1.0,1.0,67.0,0.0,5.0,2.0,1.0,1.0,2.0,30.0,1.0,10.0,8.0,1.0,2.0,0.0,11.0,3.0,6.0,50.0,2.0,13.0,1.0,2.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
가정,0.0,9.0,5.0,29.0,10.0,8.0,4.0,24.0,14.0,46.0,8.0,1.0,9.0,8.0,7.0,4.0,6.0,1.0,1.0,22.0,1.0,0.0,0.0,10.0,9.0,25.0,1.0,11.0,5.0,5.0,12.0,11.0,0.0,0.0,1.0,12.0,2.0,0.0,12.0,3.0,0.0,6.0,2.0,2.0,0.0,10.0,0.0,0.0,1.0,29.0,2.0,8.0,1.0,2.0,3.0,0.0,9.0,0.0,4.0,0.0,1.0,8.0,4.0,10.0,0.0,1.0,8.0,5.0,6.0,11.0,0.0,3.0,1.0,0.0,4.0,0.0,5.0,6.0,1.0,2.0,4.0,2.0,0.0,3.0,0.0,4.0,4.0,9.0,0.0,0.0,0.0,3.0,0.0,82.0,3.0,2.0,0.0,64.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,7.0,3.0,0.0,24.0,1.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,3.0,5.0,3.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,5.0,0.0,4.0,6.0,4.0,0.0
학생,8.0,4.0,6.0,15.0,7.0,7.0,16.0,9.0,2.0,12.0,3.0,4.0,6.0,7.0,8.0,10.0,7.0,1.0,1.0,6.0,0.0,1.0,1.0,8.0,12.0,7.0,1.0,8.0,4.0,5.0,10.0,19.0,2.0,8.0,0.0,8.0,2.0,10.0,2.0,2.0,3.0,5.0,0.0,0.0,1.0,5.0,2.0,0.0,2.0,19.0,0.0,1.0,0.0,5.0,5.0,1.0,6.0,0.0,1.0,7.0,2.0,4.0,1.0,10.0,1.0,4.0,2.0,5.0,10.0,23.0,1.0,5.0,10.0,0.0,3.0,1.0,6.0,2.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,5.0,2.0,5.0,7.0,0.0,3.0,1.0,29.0,5.0,3.0,1.0,6.0,0.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,2.0,4.0,0.0,2.0,14.0,2.0,7.0,5.0,3.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0
도시,76.0,7.0,12.0,17.0,7.0,15.0,26.0,11.0,14.0,1.0,4.0,13.0,22.0,0.0,20.0,3.0,4.0,2.0,1.0,2.0,1.0,0.0,16.0,13.0,5.0,0.0,4.0,3.0,3.0,12.0,3.0,27.0,13.0,0.0,25.0,9.0,11.0,16.0,41.0,9.0,15.0,17.0,0.0,2.0,5.0,6.0,11.0,0.0,0.0,3.0,6.0,2.0,2.0,0.0,0.0,5.0,2.0,0.0,4.0,1.0,4.0,2.0,2.0,6.0,7.0,3.0,35.0,12.0,0.0,14.0,20.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,5.0,0.0,4.0,1.0,0.0,7.0,4.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0,1.0,5.0,3.0,3.0,2.0,0.0,5.0,2.0,13.0,1.0,3.0,28.0,8.0,0.0,6.0,2.0,4.0,2.0,5.0,1.0,1.0,0.0,3.0,5.0,11.0,1.0,14.0,0.0,5.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,10.0,5.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0
조금,15.0,4.0,15.0,8.0,4.0,3.0,2.0,8.0,2.0,8.0,6.0,2.0,2.0,2.0,5.0,8.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0,4.0,8.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,11.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,5.0,1.0,1.0,0.0,7.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,6.0,2.0,0.0,3.0,0.0,2.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
해결,48.0,14.0,33.0,33.0,21.0,8.0,9.0,24.0,19.0,25.0,33.0,16.0,11.0,2.0,3.0,10.0,2.0,5.0,25.0,7.0,14.0,13.0,23.0,6.0,31.0,0.0,2.0,3.0,6.0,25.0,208.0,11.0,10.0,2.0,11.0,0.0,9.0,7.0,1.0,8.0,1.0,9.0,0.0,3.0,11.0,10.0,10.0,13.0,9.0,21.0,3.0,11.0,8.0,4.0,7.0,2.0,4.0,28.0,12.0,4.0,4.0,13.0,8.0,2.0,8.0,7.0,10.0,9.0,1.0,3.0,4.0,1.0,4.0,0.0,0.0,9.0,3.0,8.0,1.0,11.0,4.0,22.0,0.0,10.0,12.0,10.0,0.0,4.0,0.0,1.0,4.0,1.0,6.0,5.0,0.0,4.0,8.0,2.0,1.0,0.0,5.0,6.0,0.0,4.0,0.0,0.0,6.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,5.0,2.0,8.0,0.0,3.0,0.0,0.0,3.0,5.0,6.0,1.0,3.0,3.0,2.0,0.0,11.0,1.0,0.0,5.0,6.0,7.0,1.0,0.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0,26.0,0.0,6.0,2.0,6.0
과제,39.0,15.0,46.0,25.0,12.0,11.0,5.0,29.0,35.0,28.0,20.0,31.0,15.0,0.0,2.0,4.0,2.0,1.0,14.0,5.0,18.0,27.0,14.0,3.0,14.0,0.0,0.0,4.0,7.0,43.0,36.0,13.0,20.0,0.0,13.0,0.0,6.0,2.0,3.0,5.0,6.0,9.0,0.0,16.0,15.0,15.0,10.0,12.0,2.0,5.0,4.0,27.0,9.0,0.0,3.0,2.0,1.0,3.0,6.0,1.0,3.0,8.0,13.0,4.0,8.0,7.0,15.0,2.0,9.0,6.0,9.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,1.0,5.0,9.0,37.0,0.0,0.0,40.0,4.0,2.0,6.0,3.0,0.0,7.0,0.0,8.0,2.0,2.0,3.0,3.0,1.0,4.0,0.0,2.0,5.0,0.0,4.0,6.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,11.0,12.0,3.0,4.0,3.0,4.0,0.0,2.0,2.0,1.0,5.0,2.0,0.0,1.0,6.0,2.0,1.0,5.0,6.0,3.0,1.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,16.0,4.0,0.0,0.0,17.0,4.0,9.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,26.0,0.0,0.0,6.0,4.0,8.0
참석,31.0,29.0,16.0,8.0,6.0,18.0,20.0,4.0,9.0,3.0,2.0,1.0,8.0,29.0,8.0,23.0,24.0,1.0,11.0,11.0,59.0,62.0,6.0,3.0,5.0,8.0,0.0,94.0,11.0,5.0,3.0,9.0,2.0,24.0,1.0,17.0,4.0,3.0,4.0,12.0,2.0,3.0,0.0,4.0,2.0,1.0,6.0,8.0,6.0,1.0,2.0,1.0,5.0,3.0,3.0,6.0,1.0,5.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,5.0,3.0,7.0,14.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,29.0,0.0,1.0,5.0,23.0,1.0,56.0,0.0,0.0,40.0,0.0,3.0,1.0,6.0,0.0,0.0,4.0,33.0,12.0,7.0,0.0,1.0,2.0,0.0,3.0,2.0,4.0,1.0,10.0,4.0,5.0,0.0,3.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
관심,38.0,38.0,24.0,14.0,20.0,18.0,25.0,34.0,12.0,23.0,10.0,13.0,20.0,11.0,14.0,12.0,1.0,2.0,26.0,4.0,16.0,13.0,16.0,10.0,15.0,7.0,1.0,10.0,8.0,10.0,31.0,7.0,2.0,1.0,10.0,2.0,9.0,7.0,20.0,12.0,8.0,6.0,1.0,4.0,2.0,6.0,13.0,7.0,12.0,24.0,5.0,8.0,5.0,3.0,8.0,4.0,5.0,12.0,12.0,2.0,6.0,12.0,6.0,2.0,4.0,11.0,8.0,9.0,1.0,7.0,8.0,2.0,6.0,0.0,2.0,5.0,5.0,3.0,0.0,3.0,5.0,10.0,1.0,6.0,4.0,3.0,3.0,10.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,3.0,3.0,7.0,2.0,3.0,5.0,4.0,0.0,3.0,1.0,5.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,7.0,2.0,5.0,9.0,0.0,2.0,8.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,0.0,2.0,3.0,2.0,3.0,0.0,10.0,0.0,5.0,3.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,6.0,7.0,1.0,2.0,6.0,6.0,0.0,0.0,1.0,3.0
회복,88.0,12.0,186.0,19.0,21.0,13.0,23.0,26.0,19.0,18.0,62.0,32.0,5.0,3.0,15.0,4.0,1.0,1.0,4.0,9.0,20.0,20.0,12.0,6.0,15.0,2.0,1.0,1.0,7.0,1.0,8.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,14.0,4.0,4.0,0.0,1.0,12.0,18.0,2.0,26.0,3.0,5.0,12.0,8.0,2.0,2.0,9.0,11.0,5.0,1.0,6.0,10.0,2.0,16.0,15.0,4.0,14.0,1.0,2.0,6.0,5.0,0.0,3.0,1.0,3.0,0.0,8.0,5.0,8.0,9.0,5.0,10.0,24.0,0.0,3.0,3.0,3.0,1.0,6.0,2.0,0.0,11.0,1.0,0.0,11.0,3.0,0.0,1.0,2.0,7.0,0.0,1.0,2.0,10.0,0.0,6.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,5.0,17.0,8.0,2.0,1.0,3.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,1.0,2.0,2.0,3.0,9.0,7.0,3.0,2.0,3.0,5.0,2.0,3.0,0.0,4.0,1.0,0.0,22.0,3.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,5.0
합의,49.0,8.0,37.0,15.0,12.0,3.0,13.0,13.0,14.0,8.0,23.0,22.0,10.0,3.0,10.0,10.0,4.0,3.0,35.0,4.0,117.0,98.0,32.0,2.0,14.0,0.0,1.0,5.0,7.0,9.0,20.0,12.0,0.0,0.0,6.0,0.0,3.0,3.0,3.0,26.0,6.0,2.0,0.0,2.0,5.0,7.0,30.0,27.0,17.0,9.0,7.0,17.0,7.0,1.0,8.0,10.0,3.0,4.0,7.0,7.0,2.0,13.0,8.0,4.0,10.0,11.0,1.0,10.0,4.0,1.0,28.0,1.0,3.0,0.0,4.0,4.0,5.0,2.0,5.0,4.0,0.0,8.0,2.0,4.0,3.0,7.0,3.0,0.0,0.0,30.0,1.0,1.0,18.0,0.0,3.0,4.0,7.0,0.0,0.0,0.0,2.0,9.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,13.0,10.0,13.0,2.0,0.0,3.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,13.0,4.0,8.0,3.0,3.0,2.0,3.0,1.0,13.0,0.0,0.0,0.0,13.0,5.0,0.0,7.0,9.0,0.0,14.0,0.0,2.0,6.0,13.0,2.0,0.0,1.0,1.0,0.0,6.0,8.0,2.0,3.0,5.0,0.0
