,경제,국민,세계,정부,발전,한국,산업,협력,혁신,노력,사회,기업,국가,대한민국,창조,지원,문화,성장,기술,양국,평화,생각,지역,미래,북한,지금,감사,나라,축하,오늘,시대,동포,행복,통일,교육,국제,확대,모두,개발,분야,적극,시장,한반도,변화,투자,추진,존경,중요,기대,여성,역사,센터,글로벌,사업,이제,동안,개혁,도약,환경,자리,희망,일자리,안전,진심,과학,도전,구축,기여,역할,지속,에너지,강화,기반,창출,성공,창의,필요,이번,창업,기원,가치,수출,문제,가능,안보,다양,신뢰,중심,기회,역량,대회,서비스,관계,대응,전국,헌신,금융,위기,정책,계획,인류,귀빈,내외,아이디어,정보,공동,중국,규제,마음,자유,포럼,융합,성과,가장,정신,시작,정상,벤처,영상,최근,과제,올해,도발,상황,개최,진출,번영,메시지,의료,동북아,무역,개선,위협,주민,최선,말씀,바탕,현재,규모,극복,마련,현장,동력,회의,민족,과정,활성,청년,핵심,활용,각국,경찰,육성,어려움,교류,참여,토대,경험,해외,국회,건설,제공,전략,구조,운동,서로,조성,전쟁,계기,남북,이상,기관,경쟁력,생활,인재,해결
경찰,2.0,86.0,15.0,20.0,11.0,12.0,0.0,12.0,2.0,16.0,22.0,3.0,20.0,29.0,0.0,12.0,1.0,0.0,3.0,4.0,4.0,4.0,17.0,2.0,2.0,1.0,10.0,4.0,11.0,8.0,3.0,6.0,9.0,0.0,8.0,0.0,2.0,4.0,2.0,10.0,6.0,0.0,0.0,1.0,4.0,15.0,12.0,6.0,1.0,0.0,8.0,0.0,0.0,6.0,0.0,5.0,2.0,4.0,7.0,8.0,2.0,0.0,25.0,9.0,1.0,0.0,4.0,3.0,12.0,6.0,3.0,6.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,6.0,1.0,16.0,2.0,0.0,5.0,9.0,5.0,8.0,8.0,11.0,19.0,1.0,4.0,0.0,0.0,0.0,11.0,11.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,3.0,6.0,3.0,0.0,1.0,2.0,2.0,4.0,1.0,0.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,6.0,1.0,0.0,5.0,0.0,1.0,1.0,11.0,1.0,0.0,4.0,5.0,9.0,10.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,9.0,0.0,8.0,0.0,2.0
육성,62.0,8.0,15.0,40.0,24.0,19.0,162.0,7.0,40.0,21.0,6.0,45.0,12.0,4.0,37.0,44.0,18.0,42.0,27.0,6.0,0.0,7.0,34.0,27.0,0.0,0.0,2.0,4.0,0.0,3.0,4.0,0.0,1.0,0.0,10.0,0.0,10.0,1.0,13.0,12.0,25.0,19.0,0.0,11.0,23.0,13.0,2.0,8.0,7.0,4.0,1.0,18.0,14.0,9.0,2.0,3.0,13.0,7.0,10.0,5.0,2.0,18.0,11.0,0.0,13.0,0.0,8.0,3.0,7.0,4.0,23.0,17.0,13.0,23.0,4.0,11.0,6.0,2.0,23.0,0.0,10.0,24.0,2.0,2.0,0.0,3.0,0.0,11.0,9.0,6.0,0.0,32.0,0.0,8.0,7.0,1.0,11.0,4.0,11.0,13.0,0.0,1.0,5.0,5.0,13.0,2.0,6.0,13.0,0.0,4.0,2.0,12.0,1.0,0.0,0.0,1.0,2.0,16.0,0.0,2.0,8.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,24.0,0.0,10.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,2.0,7.0,5.0,16.0,0.0,0.0,1.0,12.0,6.0,17.0,14.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,4.0,3.0,4.0,2.0,23.0,3.0,0.0,0.0,11.0,1.0,5.0,0.0,7.0,7.0,4.0,2.0,12.0,1.0
어려움,69.0,44.0,24.0,34.0,6.0,9.0,13.0,3.0,10.0,23.0,15.0,15.0,18.0,12.0,9.0,13.0,2.0,9.0,7.0,3.0,5.0,10.0,12.0,13.0,13.0,8.0,9.0,11.0,1.0,5.0,6.0,19.0,3.0,4.0,2.0,5.0,5.0,8.0,3.0,0.0,9.0,5.0,4.0,4.0,7.0,3.0,5.0,2.0,2.0,3.0,7.0,1.0,11.0,13.0,1.0,8.0,3.0,5.0,5.0,4.0,8.0,6.0,1.0,2.0,1.0,13.0,2.0,3.0,2.0,4.0,0.0,0.0,6.0,5.0,5.0,3.0,7.0,1.0,5.0,0.0,1.0,2.0,9.0,2.0,5.0,1.0,4.0,9.0,10.0,2.0,0.0,8.0,4.0,2.0,2.0,2.0,6.0,14.0,8.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,8.0,0.0,7.0,0.0,0.0,2.0,0.0,6.0,3.0,4.0,5.0,9.0,0.0,4.0,2.0,0.0,2.0,0.0,2.0,10.0,0.0,19.0,7.0,0.0,5.0,1.0,5.0,21.0,3.0,8.0,0.0,0.0,4.0,5.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,2.0,6.0,1.0,2.0,4.0,1.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,4.0,6.0,8.0,1.0,13.0
교류,46.0,23.0,20.0,16.0,25.0,33.0,15.0,96.0,11.0,17.0,19.0,8.0,11.0,2.0,14.0,29.0,69.0,6.0,13.0,68.0,18.0,13.0,15.0,6.0,27.0,1.0,0.0,9.0,0.0,5.0,4.0,12.0,2.0,15.0,19.0,17.0,45.0,1.0,9.0,19.0,12.0,2.0,7.0,2.0,4.0,14.0,3.0,7.0,14.0,0.0,13.0,6.0,9.0,15.0,2.0,7.0,0.0,5.0,6.0,3.0,4.0,0.0,3.0,0.0,11.0,1.0,15.0,9.0,3.0,11.0,6.0,12.0,13.0,2.0,1.0,4.0,4.0,6.0,8.0,2.0,2.0,2.0,8.0,5.0,4.0,15.0,7.0,4.0,6.0,6.0,1.0,7.0,14.0,6.0,4.0,1.0,2.0,0.0,3.0,6.0,7.0,1.0,1.0,1.0,2.0,12.0,15.0,0.0,11.0,4.0,0.0,4.0,2.0,0.0,0.0,2.0,5.0,1.0,0.0,3.0,5.0,2.0,6.0,2.0,3.0,1.0,4.0,0.0,5.0,5.0,1.0,5.0,0.0,15.0,0.0,1.0,6.0,1.0,1.0,2.0,7.0,1.0,2.0,4.0,13.0,1.0,9.0,4.0,1.0,7.0,5.0,1.0,2.0,0.0,0.0,1.0,6.0,2.0,2.0,0.0,3.0,6.0,3.0,0.0,1.0,8.0,2.0,1.0,14.0,16.0,0.0,4.0,0.0,2.0,7.0,4.0
참여,32.0,23.0,30.0,30.0,21.0,39.0,7.0,34.0,10.0,22.0,32.0,60.0,19.0,9.0,9.0,33.0,4.0,4.0,15.0,12.0,11.0,7.0,19.0,9.0,4.0,4.0,8.0,5.0,1.0,7.0,5.0,15.0,0.0,5.0,22.0,21.0,19.0,2.0,43.0,15.0,30.0,8.0,2.0,11.0,8.0,11.0,1.0,7.0,9.0,20.0,3.0,5.0,24.0,39.0,1.0,8.0,1.0,3.0,12.0,4.0,10.0,5.0,12.0,1.0,6.0,0.0,16.0,6.0,4.0,12.0,6.0,7.0,4.0,5.0,14.0,2.0,7.0,6.0,3.0,2.0,13.0,3.0,3.0,19.0,5.0,11.0,0.0,4.0,4.0,4.0,4.0,6.0,8.0,10.0,8.0,4.0,1.0,0.0,8.0,4.0,3.0,0.0,1.0,5.0,9.0,8.0,7.0,4.0,1.0,3.0,9.0,1.0,9.0,2.0,1.0,6.0,8.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,14.0,4.0,3.0,2.0,6.0,4.0,2.0,7.0,0.0,12.0,1.0,1.0,3.0,1.0,9.0,0.0,9.0,4.0,3.0,14.0,0.0,17.0,9.0,7.0,5.0,3.0,7.0,2.0,0.0,4.0,1.0,0.0,2.0,4.0,17.0,1.0,8.0,7.0,2.0,2.0,15.0,0.0,8.0,2.0,3.0,0.0,4.0,12.0,4.0,6.0,7.0,4.0
토대,68.0,34.0,21.0,25.0,40.0,21.0,16.0,26.0,29.0,13.0,17.0,6.0,26.0,14.0,21.0,6.0,22.0,23.0,22.0,16.0,21.0,10.0,6.0,17.0,9.0,3.0,2.0,11.0,0.0,6.0,12.0,4.0,20.0,18.0,12.0,7.0,9.0,7.0,11.0,4.0,5.0,5.0,10.0,8.0,4.0,9.0,2.0,7.0,3.0,5.0,9.0,3.0,6.0,5.0,0.0,10.0,16.0,20.0,7.0,1.0,5.0,5.0,9.0,0.0,13.0,2.0,9.0,7.0,4.0,11.0,6.0,7.0,7.0,3.0,8.0,10.0,0.0,5.0,2.0,2.0,5.0,0.0,4.0,8.0,14.0,4.0,11.0,3.0,4.0,11.0,1.0,5.0,9.0,2.0,0.0,8.0,2.0,5.0,2.0,9.0,7.0,0.0,0.0,3.0,2.0,3.0,0.0,2.0,4.0,7.0,1.0,5.0,5.0,0.0,3.0,6.0,1.0,1.0,0.0,3.0,2.0,6.0,2.0,1.0,0.0,4.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,16.0,3.0,5.0,0.0,4.0,0.0,3.0,1.0,5.0,4.0,1.0,1.0,3.0,3.0,6.0,2.0,0.0,11.0,0.0,0.0,6.0,4.0,4.0,5.0,4.0,0.0,5.0,4.0,0.0,4.0,1.0,4.0,3.0,2.0,3.0,5.0
경험,37.0,7.0,41.0,13.0,40.0,57.0,15.0,31.0,15.0,21.0,21.0,24.0,30.0,10.0,12.0,23.0,3.0,13.0,31.0,25.0,6.0,10.0,8.0,15.0,4.0,1.0,1.0,15.0,0.0,4.0,7.0,8.0,3.0,3.0,14.0,18.0,16.0,3.0,21.0,19.0,16.0,9.0,1.0,7.0,6.0,10.0,1.0,3.0,15.0,2.0,4.0,5.0,5.0,11.0,0.0,8.0,2.0,4.0,4.0,6.0,9.0,4.0,7.0,0.0,10.0,10.0,12.0,17.0,4.0,7.0,10.0,5.0,2.0,4.0,15.0,4.0,6.0,15.0,4.0,2.0,4.0,7.0,8.0,2.0,2.0,11.0,1.0,2.0,12.0,10.0,5.0,5.0,5.0,7.0,1.0,1.0,4.0,4.0,9.0,7.0,8.0,1.0,1.0,2.0,5.0,10.0,0.0,1.0,3.0,2.0,7.0,3.0,5.0,0.0,2.0,2.0,1.0,4.0,0.0,5.0,1.0,3.0,0.0,3.0,2.0,9.0,7.0,0.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,14.0,2.0,3.0,6.0,1.0,3.0,4.0,2.0,2.0,12.0,1.0,3.0,2.0,10.0,8.0,1.0,4.0,2.0,2.0,4.0,11.0,0.0,6.0,0.0,10.0,5.0,2.0,0.0,6.0,4.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0
해외,35.0,11.0,40.0,14.0,13.0,25.0,18.0,15.0,22.0,8.0,6.0,61.0,15.0,6.0,11.0,65.0,5.0,10.0,19.0,10.0,11.0,6.0,12.0,4.0,3.0,0.0,7.0,13.0,2.0,5.0,0.0,43.0,0.0,1.0,9.0,7.0,21.0,1.0,7.0,7.0,26.0,58.0,2.0,0.0,24.0,14.0,7.0,3.0,3.0,4.0,4.0,21.0,14.0,14.0,2.0,6.0,0.0,3.0,2.0,3.0,0.0,12.0,1.0,3.0,5.0,6.0,7.0,10.0,6.0,8.0,7.0,14.0,2.0,10.0,1.0,2.0,2.0,5.0,12.0,0.0,3.0,40.0,3.0,4.0,1.0,0.0,0.0,2.0,6.0,7.0,6.0,19.0,8.0,1.0,8.0,3.0,8.0,2.0,5.0,2.0,0.0,6.0,6.0,4.0,16.0,4.0,7.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,21.0,0.0,2.0,2.0,0.0,1.0,2.0,7.0,59.0,1.0,0.0,14.0,0.0,11.0,1.0,0.0,1.0,3.0,0.0,4.0,2.0,2.0,0.0,4.0,4.0,1.0,3.0,3.0,6.0,7.0,6.0,3.0,7.0,5.0,2.0,4.0,6.0,2.0,17.0,0.0,6.0,0.0,2.0,31.0,21.0,5.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,18.0,7.0,5.0,2.0,2.0
국회,35.0,97.0,8.0,32.0,7.0,4.0,9.0,9.0,3.0,7.0,3.0,16.0,13.0,13.0,1.0,7.0,7.0,1.0,1.0,0.0,8.0,19.0,6.0,8.0,10.0,2.0,4.0,5.0,8.0,6.0,3.0,1.0,1.0,7.0,0.0,0.0,1.0,7.0,0.0,1.0,9.0,4.0,8.0,1.0,7.0,10.0,27.0,8.0,8.0,4.0,2.0,0.0,0.0,4.0,1.0,8.0,14.0,2.0,1.0,10.0,4.0,13.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,4.0,0.0,4.0,2.0,7.0,1.0,0.0,7.0,5.0,1.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,9.0,3.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,14.0,3.0,4.0,2.0,0.0,6.0,0.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,9.0,0.0,12.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,6.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,14.0,7.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0,2.0
건설,36.0,15.0,34.0,21.0,18.0,41.0,37.0,38.0,15.0,9.0,8.0,20.0,13.0,23.0,8.0,18.0,3.0,13.0,13.0,22.0,14.0,6.0,12.0,7.0,8.0,2.0,2.0,13.0,1.0,13.0,3.0,15.0,6.0,5.0,2.0,5.0,14.0,8.0,21.0,22.0,9.0,22.0,12.0,3.0,11.0,11.0,7.0,4.0,7.0,1.0,7.0,5.0,9.0,13.0,2.0,7.0,1.0,6.0,6.0,6.0,5.0,5.0,7.0,1.0,6.0,2.0,10.0,11.0,4.0,5.0,21.0,4.0,2.0,5.0,6.0,1.0,3.0,6.0,1.0,1.0,5.0,5.0,0.0,2.0,0.0,4.0,6.0,10.0,5.0,3.0,3.0,12.0,10.0,0.0,2.0,5.0,6.0,4.0,4.0,12.0,1.0,1.0,1.0,0.0,1.0,6.0,2.0,2.0,5.0,4.0,0.0,1.0,2.0,0.0,2.0,11.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,6.0,5.0,17.0,3.0,2.0,2.0,1.0,0.0,6.0,0.0,3.0,1.0,3.0,5.0,2.0,8.0,6.0,4.0,10.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,5.0,4.0,2.0,3.0,8.0,6.0,10.0,31.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,4.0,7.0,5.0,2.0,2.0,2.0,6.0,8.0,2.0,2.0
제공,33.0,21.0,29.0,27.0,27.0,22.0,26.0,16.0,25.0,23.0,19.0,30.0,13.0,4.0,15.0,89.0,15.0,19.0,21.0,9.0,6.0,8.0,20.0,10.0,2.0,0.0,3.0,5.0,0.0,0.0,2.0,26.0,7.0,8.0,42.0,12.0,19.0,2.0,27.0,10.0,14.0,11.0,8.0,3.0,14.0,13.0,2.0,6.0,6.0,9.0,3.0,32.0,13.0,16.0,1.0,3.0,7.0,3.0,19.0,4.0,3.0,20.0,6.0,0.0,8.0,2.0,13.0,11.0,12.0,14.0,5.0,14.0,2.0,6.0,5.0,5.0,13.0,1.0,10.0,1.0,5.0,15.0,4.0,12.0,1.0,18.0,0.0,12.0,37.0,10.0,1.0,71.0,3.0,4.0,6.0,1.0,11.0,1.0,8.0,2.0,6.0,0.0,0.0,2.0,25.0,6.0,8.0,2.0,2.0,5.0,3.0,5.0,2.0,0.0,3.0,4.0,4.0,11.0,1.0,2.0,2.0,1.0,0.0,4.0,7.0,16.0,7.0,0.0,17.0,4.0,7.0,9.0,0.0,2.0,7.0,0.0,1.0,3.0,4.0,0.0,5.0,10.0,10.0,9.0,3.0,6.0,5.0,7.0,6.0,20.0,7.0,0.0,2.0,4.0,6.0,7.0,4.0,5.0,21.0,0.0,4.0,0.0,3.0,2.0,4.0,1.0,4.0,0.0,4.0,0.0,3.0,16.0,5.0,11.0,5.0,5.0
전략,110.0,9.0,32.0,31.0,58.0,30.0,76.0,23.0,63.0,14.0,13.0,11.0,50.0,3.0,27.0,23.0,8.0,48.0,14.0,25.0,1.0,11.0,35.0,32.0,3.0,1.0,0.0,8.0,5.0,0.0,4.0,2.0,4.0,0.0,11.0,5.0,13.0,1.0,16.0,14.0,12.0,20.0,3.0,9.0,19.0,35.0,5.0,4.0,7.0,0.0,1.0,10.0,12.0,5.0,2.0,2.0,10.0,7.0,8.0,3.0,2.0,8.0,2.0,4.0,10.0,4.0,10.0,3.0,2.0,8.0,10.0,11.0,10.0,15.0,6.0,7.0,6.0,4.0,4.0,1.0,2.0,12.0,3.0,8.0,5.0,5.0,0.0,6.0,3.0,7.0,0.0,4.0,22.0,6.0,1.0,0.0,8.0,1.0,6.0,25.0,2.0,2.0,2.0,3.0,6.0,2.0,16.0,19.0,0.0,3.0,12.0,3.0,6.0,0.0,1.0,2.0,13.0,2.0,2.0,4.0,3.0,5.0,2.0,1.0,8.0,7.0,1.0,2.0,6.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,0.0,9.0,3.0,12.0,0.0,9.0,10.0,0.0,2.0,11.0,2.0,12.0,8.0,5.0,0.0,23.0,1.0,3.0,2.0,4.0,2.0,5.0,1.0,1.0,3.0,0.0,7.0,3.0,0.0,2.0,2.0,6.0,0.0,3.0,1.0,5.0,3.0,1.0,1.0
구조,121.0,24.0,22.0,33.0,31.0,17.0,40.0,22.0,40.0,14.0,29.0,25.0,28.0,11.0,15.0,9.0,9.0,33.0,16.0,11.0,4.0,7.0,16.0,13.0,0.0,4.0,1.0,6.0,0.0,0.0,4.0,1.0,4.0,2.0,31.0,5.0,12.0,4.0,6.0,14.0,8.0,20.0,1.0,14.0,17.0,18.0,6.0,4.0,1.0,4.0,0.0,4.0,5.0,9.0,2.0,3.0,71.0,11.0,6.0,5.0,2.0,13.0,14.0,0.0,4.0,4.0,10.0,1.0,5.0,9.0,7.0,20.0,10.0,16.0,11.0,9.0,13.0,0.0,7.0,0.0,7.0,4.0,17.0,7.0,3.0,3.0,3.0,12.0,4.0,7.0,0.0,9.0,2.0,8.0,3.0,0.0,17.0,3.0,10.0,14.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,9.0,1.0,2.0,0.0,2.0,14.0,0.0,2.0,4.0,4.0,10.0,1.0,0.0,7.0,2.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,5.0,3.0,21.0,0.0,5.0,4.0,0.0,6.0,0.0,2.0,3.0,3.0,4.0,6.0,2.0,0.0,6.0,7.0,6.0,5.0,2.0,1.0,0.0,3.0,6.0,0.0,2.0,5.0,0.0,1.0,2.0,0.0,2.0,7.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,3.0,4.0,6.0,6.0,6.0,7.0
운동,11.0,50.0,18.0,12.0,32.0,26.0,1.0,14.0,2.0,13.0,22.0,1.0,20.0,17.0,5.0,15.0,15.0,4.0,1.0,3.0,5.0,17.0,21.0,7.0,1.0,3.0,6.0,14.0,16.0,10.0,6.0,1.0,9.0,4.0,16.0,19.0,4.0,6.0,66.0,4.0,5.0,0.0,3.0,10.0,0.0,16.0,6.0,11.0,8.0,16.0,4.0,0.0,16.0,12.0,0.0,2.0,12.0,0.0,17.0,3.0,7.0,1.0,12.0,4.0,0.0,0.0,3.0,14.0,10.0,22.0,0.0,10.0,5.0,1.0,11.0,0.0,4.0,2.0,0.0,1.0,5.0,0.0,0.0,24.0,2.0,4.0,0.0,12.0,1.0,10.0,17.0,4.0,2.0,0.0,17.0,6.0,0.0,0.0,6.0,2.0,6.0,1.0,1.0,0.0,8.0,7.0,0.0,0.0,7.0,5.0,4.0,1.0,3.0,0.0,32.0,12.0,11.0,0.0,6.0,0.0,2.0,6.0,0.0,5.0,5.0,0.0,5.0,8.0,1.0,0.0,0.0,4.0,0.0,8.0,0.0,2.0,1.0,2.0,7.0,2.0,7.0,6.0,1.0,17.0,10.0,4.0,0.0,2.0,4.0,0.0,9.0,1.0,0.0,0.0,1.0,15.0,4.0,6.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,4.0,8.0,0.0,2.0,3.0,0.0
서로,5.0,9.0,13.0,6.0,7.0,5.0,2.0,26.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,1.0,17.0,5.0,3.0,17.0,6.0,4.0,2.0,6.0,1.0,0.0,1.0,2.0,0.0,1.0,6.0,1.0,8.0,5.0,0.0,2.0,7.0,2.0,1.0,2.0,1.0,9.0,3.0,2.0,2.0,1.0,0.0,4.0,6.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,4.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,11.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,14.0,0.0,2.0,3.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
조성,54.0,15.0,27.0,38.0,14.0,19.0,77.0,16.0,28.0,16.0,18.0,41.0,9.0,9.0,47.0,40.0,16.0,16.0,23.0,9.0,25.0,9.0,39.0,7.0,10.0,4.0,6.0,3.0,2.0,2.0,3.0,0.0,4.0,16.0,11.0,10.0,22.0,2.0,35.0,8.0,12.0,15.0,10.0,7.0,38.0,27.0,3.0,8.0,4.0,2.0,3.0,22.0,13.0,31.0,0.0,7.0,13.0,4.0,36.0,2.0,4.0,11.0,6.0,1.0,8.0,8.0,16.0,3.0,4.0,7.0,6.0,12.0,30.0,10.0,7.0,17.0,6.0,2.0,47.0,0.0,6.0,7.0,1.0,12.0,2.0,2.0,3.0,5.0,1.0,12.0,0.0,4.0,3.0,6.0,10.0,3.0,9.0,3.0,7.0,14.0,0.0,0.0,0.0,11.0,6.0,6.0,3.0,10.0,1.0,8.0,1.0,11.0,10.0,0.0,5.0,8.0,3.0,37.0,1.0,1.0,4.0,6.0,4.0,4.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,11.0,1.0,18.0,4.0,0.0,6.0,4.0,18.0,1.0,11.0,6.0,3.0,5.0,2.0,4.0,15.0,7.0,3.0,9.0,0.0,3.0,11.0,2.0,2.0,8.0,5.0,2.0,3.0,0.0,4.0,4.0,2.0,7.0,6.0,1.0,0.0,1.0,4.0,3.0,7.0,10.0,2.0,10.0,10.0,1.0
전쟁,26.0,20.0,37.0,6.0,20.0,47.0,9.0,5.0,1.0,9.0,8.0,2.0,14.0,32.0,0.0,5.0,0.0,10.0,3.0,9.0,33.0,10.0,6.0,3.0,10.0,3.0,1.0,23.0,0.0,7.0,4.0,0.0,4.0,13.0,7.0,7.0,0.0,6.0,4.0,0.0,1.0,2.0,22.0,1.0,1.0,3.0,9.0,2.0,0.0,1.0,9.0,0.0,1.0,1.0,3.0,6.0,0.0,2.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,2.0,2.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,5.0,0.0,6.0,0.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,6.0,0.0,0.0,8.0,2.0,1.0,2.0,2.0,1.0,10.0,3.0,1.0,0.0,1.0,0.0,5.0,7.0,0.0,3.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,5.0,2.0,2.0,7.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,9.0,2.0,0.0,0.0,1.0,1.0,2.0
계기,47.0,24.0,24.0,19.0,39.0,18.0,32.0,62.0,14.0,9.0,13.0,7.0,7.0,9.0,18.0,19.0,20.0,6.0,9.0,50.0,12.0,8.0,14.0,18.0,2.0,0.0,2.0,4.0,1.0,27.0,12.0,13.0,6.0,10.0,6.0,6.0,14.0,4.0,20.0,20.0,5.0,2.0,5.0,6.0,11.0,10.0,3.0,7.0,40.0,4.0,6.0,9.0,7.0,13.0,0.0,6.0,3.0,15.0,6.0,11.0,13.0,4.0,12.0,0.0,5.0,1.0,6.0,6.0,6.0,12.0,12.0,8.0,4.0,6.0,3.0,2.0,3.0,38.0,7.0,10.0,6.0,0.0,1.0,7.0,2.0,4.0,8.0,5.0,4.0,2.0,11.0,8.0,20.0,7.0,2.0,0.0,6.0,3.0,4.0,2.0,4.0,0.0,0.0,1.0,5.0,10.0,2.0,2.0,5.0,3.0,4.0,0.0,5.0,0.0,3.0,7.0,9.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,10.0,7.0,3.0,1.0,5.0,7.0,3.0,5.0,0.0,2.0,0.0,3.0,1.0,2.0,6.0,0.0,18.0,1.0,1.0,14.0,5.0,2.0,9.0,2.0,2.0,4.0,4.0,3.0,5.0,1.0,14.0,3.0,0.0,4.0,1.0,2.0,5.0,4.0,6.0,2.0,5.0,4.0,4.0,2.0,0.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0
남북,12.0,14.0,11.0,21.0,23.0,7.0,1.0,41.0,0.0,16.0,7.0,0.0,4.0,4.0,3.0,7.0,8.0,0.0,0.0,0.0,43.0,12.0,0.0,4.0,49.0,4.0,0.0,8.0,0.0,2.0,13.0,2.0,6.0,36.0,0.0,9.0,4.0,10.0,4.0,1.0,5.0,0.0,39.0,8.0,2.0,16.0,5.0,3.0,5.0,0.0,10.0,0.0,0.0,31.0,2.0,12.0,1.0,0.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,24.0,4.0,1.0,14.0,0.0,1.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,12.0,6.0,9.0,3.0,23.0,4.0,0.0,0.0,1.0,0.0,55.0,3.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,19.0,3.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,10.0,6.0,0.0,0.0,3.0,4.0,4.0,9.0,13.0,1.0,0.0,7.0,0.0,2.0,6.0,0.0,7.0,6.0,20.0,3.0,1.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,16.0,0.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
